Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,4,2,5,4,43,306,407,1318,397,2455,170,11,100,142,197,86,136,5,177,18,190,63,0,0,6236
Wednesday,1,2,5,0,124,413,651,2409,666,4861,122,190,169,96,42,95,152,86,14,62,191,66,0,5,10422
Thursday,5,2,2,2,166,84,303,1205,333,188,36,63,52,110,171,10,57,137,200,149,9,183,4,0,3471
Friday,1,5,0,5,6,365,606,2330,626,644,2,138,32,62,178,11,59,70,72,168,16,190,1,2,5589
Monday,0,2,4,2,165,166,362,1074,319,1500,64,118,118,35,34,8,69,168,62,154,61,182,3,0,4670
Tuesday,5,4,3,4,56,15,546,1839,457,2980,43,6,44,161,149,197,44,146,68,78,158,104,0,0,7107
Wednesday,4,2,4,2,161,87,470,1592,415,1866,70,148,140,127,55,150,84,66,86,156,80,70,2,1,5838
Thursday,4,0,2,0,42,136,428,1490,427,1665,167,129,80,72,83,107,79,35,12,194,144,131,0,1,5428
Friday,2,0,3,2,162,224,587,2154,618,2859,165,16,92,88,61,160,147,163,137,156,143,120,3,4,8066
Monday,5,0,3,5,6,408,582,2052,542,2062,45,27,43,80,67,193,183,120,1,8,3,46,4,2,6487
Tuesday,0,1,5,1,3,271,470,1569,448,256,167,40,4,62,16,9,122,117,53,22,87,59,0,1,3783
Wednesday,1,5,4,2,77,488,565,2181,626,3807,107,169,4,62,185,151,35,41,194,98,79,48,1,0,8930
Thursday,4,2,1,5,3,329,433,1611,428,3363,64,133,81,163,97,133,169,113,130,183,96,170,4,0,7715
Friday,1,2,2,5,99,301,399,1328,336,1251,42,106,91,148,170,169,109,21,104,50,56,6,3,5,4804
Monday,5,1,4,3,168,561,576,2390,650,15,156,175,108,193,68,83,130,97,114,140,44,106,4,5,5796
Tuesday,5,0,5,3,52,232,536,1991,581,4436,70,113,179,24,32,67,68,27,159,167,66,31,5,2,8851
Wednesday,3,0,5,2,171,235,483,1886,517,4165,23,123,160,96,73,6,190,24,164,182,53,113,4,3,8681
Thursday,3,4,3,5,174,168,340,1293,341,2010,131,182,54,105,83,81,50,166,137,72,171,198,2,4,5777
Friday,0,4,2,1,20,59,468,1796,494,2024,157,82,170,154,56,99,137,122,111,60,118,105,0,1,6240
Monday,4,4,2,4,8,113,536,1781,483,1336,19,160,135,3,102,188,131,115,3,46,188,82,0,1,5444
Tuesday,1,2,3,5,143,374,377,1318,330,3011,64,178,52,34,56,167,103,90,144,197,43,111,5,5,6813
Wednesday,2,3,5,0,112,110,378,1201,364,171,169,150,188,111,158,74,137,56,30,36,92,85,0,0,3632
Thursday,0,5,3,2,192,401,386,1586,407,577,104,192,77,127,135,43,85,168,29,183,162,121,4,2,4991
Friday,0,1,2,4,97,333,450,1679,485,890,40,45,160,143,156,151,141,194,163,50,33,4,4,2,5227
Monday,0,0,4,5,23,43,491,1893,484,2755,114,54,192,53,165,25,8,31,148,95,122,86,3,4,6798
Tuesday,3,1,5,0,99,383,511,1964,494,9,91,109,68,188,172,139,12,13,56,166,83,55,0,4,4625
Wednesday,4,3,3,5,76,394,556,1982,496,1703,53,13,191,1,63,153,82,107,167,157,135,195,1,1,6541
Thursday,1,0,4,1,182,550,628,2321,569,4385,133,30,184,26,132,95,24,163,66,198,82,74,1,4,9853
Friday,1,4,2,5,134,327,564,2112,506,282,70,138,174,147,177,108,193,57,76,155,68,5,1,4,5310
Monday,3,0,4,0,145,166,357,1320,372,2607,55,145,142,85,59,196,56,51,180,96,80,8,0,4,6131
Saturday,1,4,0,3,4,373,242,260,223,267,96,235,9,337,184,126,206,213,103,159,376,230,87,2,3740
Saturday,2,4,0,4,1,296,379,22,190,213,243,190,151,47,106,236,216,82,238,66,93,226,219,3,3227
Saturday,3,0,3,4,3,353,197,313,48,261,162,0,368,9,333,218,57,105,170,385,78,94,396,5,3565
Saturday,1,1,5,0,1,360,62,303,143,271,224,248,283,85,79,196,310,10,21,385,388,318,72,2,3768
Saturday,2,2,3,5,3,105,199,381,191,362,292,348,391,359,134,224,111,180,104,313,256,67,263,3,4298
Saturday,1,4,5,5,3,21,310,177,64,68,310,323,118,99,391,0,160,128,268,172,312,187,238,2,3366
Sunday,1,0,5,3,4,332,129,246,373,365,336,332,356,243,334,122,210,331,2,306,227,11,260,2,4530
Sunday,0,2,3,4,1,281,235,188,30,17,327,395,379,374,360,73,383,81,34,213,390,121,173,5,4069
Sunday,3,4,0,1,2,170,69,374,181,394,183,326,260,231,176,118,212,233,289,136,228,162,186,5,3943
Sunday,3,2,2,5,4,177,206,86,356,264,364,239,177,376,120,137,257,130,254,397,9,205,110,0,3880
Sunday,5,1,1,2,5,256,15,106,76,162,302,10,213,310,378,398,400,197,347,5,345,218,153,2,3907
Sunday,1,5,2,5,4,355,20,39,21,113,181,149,157,106,309,37,134,116,369,12,49,0,14,3,2201
