Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,2,4,3,2,107,187,618,2189,625,4351,101,162,165,120,81,118,123,157,21,180,121,48,3,2,9490
Wednesday,1,3,0,3,70,135,376,1370,375,1681,7,196,158,10,18,156,20,13,19,86,175,76,3,0,4951
Thursday,2,0,1,2,198,27,539,1837,546,3538,77,192,179,179,158,56,146,70,53,155,1,191,2,2,8151
Friday,1,0,3,1,150,104,573,2111,590,4591,103,104,93,169,172,155,71,124,9,76,75,164,3,5,9447
Monday,0,2,4,3,40,523,573,2329,571,4976,35,179,14,57,196,171,64,60,91,62,63,165,1,5,10184
Tuesday,3,2,3,5,59,57,501,2015,536,4568,177,63,108,95,135,119,54,63,103,161,165,185,1,4,9182
Wednesday,3,2,2,1,147,262,497,1882,488,4332,116,186,95,166,42,53,106,20,184,28,70,31,3,5,8721
Thursday,0,0,1,3,62,53,540,1985,554,4753,96,72,164,122,15,149,59,56,6,0,103,48,5,1,8847
Friday,4,3,0,1,142,86,550,1889,531,1694,190,160,7,87,142,163,7,197,116,19,191,82,2,5,6268
Monday,2,4,5,1,40,256,371,1270,305,2748,72,22,36,25,134,162,192,14,87,77,145,104,4,2,6078
Tuesday,4,2,2,1,80,180,638,2330,655,1457,45,80,12,86,193,39,133,4,146,161,199,5,3,0,6455
Wednesday,2,3,4,1,193,96,570,1926,566,3664,152,99,40,45,186,70,38,45,75,131,50,101,1,1,8059
Thursday,5,5,0,1,39,139,596,2253,563,5190,62,158,180,26,35,139,55,162,6,126,23,79,3,2,9847
Friday,1,0,3,0,135,163,479,1703,452,3208,72,61,35,174,66,13,137,26,155,119,27,113,3,5,7150
Monday,1,2,4,1,114,86,612,2197,561,1614,23,95,183,145,68,39,18,81,131,192,59,50,1,2,6279
Tuesday,3,5,1,3,74,82,500,1943,499,4083,102,175,97,180,191,35,4,74,108,70,126,81,4,0,8440
Wednesday,1,4,4,5,5,100,575,2395,638,2291,35,196,154,30,34,39,18,197,168,183,142,21,1,3,7239
Thursday,4,1,5,2,124,318,507,1973,567,2815,144,61,82,102,179,125,114,118,167,45,116,126,2,4,7701
Friday,5,0,3,4,3,96,544,1885,544,1487,114,184,171,50,88,22,37,32,153,119,40,92,3,1,5677
Monday,3,4,3,3,68,581,575,2081,569,4043,13,5,81,40,192,183,46,147,25,29,197,115,4,1,9008
Tuesday,0,1,1,1,129,270,520,2180,545,2235,66,155,113,8,85,35,138,133,132,149,2,146,0,0,7044
Wednesday,5,2,4,0,108,44,301,1263,384,2274,156,133,153,112,42,198,24,47,154,114,74,3,4,4,5603
Thursday,3,2,5,5,134,391,340,1298,363,2282,79,49,172,68,100,53,5,191,97,74,48,22,1,4,5786
Friday,3,3,4,2,147,304,345,1198,323,2648,40,62,159,163,71,150,116,175,184,120,74,49,4,1,6345
Monday,0,4,3,1,143,368,339,1347,358,3171,46,163,82,46,136,38,106,84,132,195,57,24,5,5,6853
Tuesday,3,0,4,5,12,441,499,1726,470,1911,164,67,82,124,171,107,28,45,163,192,175,126,5,4,6524
Wednesday,4,3,3,3,72,577,522,2135,522,4453,168,187,90,33,190,151,72,105,34,183,139,179,0,0,9825
Thursday,3,4,1,5,166,169,416,1455,447,1714,66,106,35,113,142,116,150,111,141,77,62,41,0,3,5543
Friday,3,0,4,1,140,314,411,1506,371,2498,27,92,161,63,151,148,171,105,91,0,41,22,3,4,6327
Monday,4,1,5,0,126,150,511,1867,477,3427,75,11,74,59,52,38,160,31,164,54,174,55,0,5,7520
Saturday,5,5,1,0,1,1,94,32,182,66,28,55,130,62,155,67,357,1562,882,635,40,129,181,1,4671
Saturday,3,1,0,4,2,0,198,165,44,81,36,102,180,151,59,45,1744,1154,2937,658,5,26,112,4,7711
Saturday,2,0,1,3,1,5,97,18,132,116,93,166,50,148,24,60,826,2063,1643,1225,106,61,170,0,7010
Saturday,0,0,3,5,2,2,144,57,113,158,63,65,99,155,60,192,438,703,1084,1822,127,36,114,1,5443
Saturday,1,3,3,1,3,0,22,28,119,70,79,19,143,79,54,104,1757,573,1148,2860,80,164,41,1,7352
Saturday,5,3,0,5,4,5,146,24,119,137,69,158,45,78,100,35,1568,2528,1982,516,186,81,106,0,7900
Sunday,4,5,5,5,5,0,199,127,183,16,17,194,25,169,131,30,2616,2117,1578,1059,132,41,133,5,8796
Sunday,4,2,4,5,1,2,62,96,164,155,60,68,199,177,85,24,1085,2169,552,1642,188,169,148,1,7062
Sunday,1,4,3,4,5,0,173,112,46,189,176,163,128,188,86,127,1681,532,2172,1148,71,16,135,4,7164
Sunday,0,2,0,4,0,3,98,43,95,54,79,160,136,124,80,15,1484,907,1177,319,149,160,188,4,5281
Sunday,0,1,4,4,2,0,198,85,156,23,107,95,18,31,179,162,1924,985,1496,2463,6,196,104,4,8243
Sunday,2,4,0,1,5,1,58,43,150,191,53,124,81,178,21,83,716,1061,1772,387,167,180,150,0,5428
