Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,1,5,4,3,848,119,465,351,151,1098,21,666,1006,734,413,1015,1004,9,168,418,10,185,2,4,8700
Wednesday,4,5,4,3,230,173,701,251,769,137,20,54,292,685,1007,17,346,655,981,497,977,443,2,2,8255
Thursday,5,3,1,3,1011,871,556,140,627,758,729,255,268,203,414,912,425,809,763,183,82,896,1,1,9916
Friday,0,0,3,4,24,632,350,881,586,465,386,456,338,33,409,126,218,46,456,1001,647,388,0,3,7452
Monday,4,1,5,4,306,493,737,41,21,684,228,497,430,164,442,503,628,530,470,191,563,730,5,3,7680
Tuesday,3,3,4,5,804,323,531,202,975,448,357,23,685,779,693,367,874,572,939,843,540,506,2,4,10482
Wednesday,4,4,1,0,702,952,1066,688,348,1071,218,1011,648,965,1081,837,73,811,954,1028,415,276,0,3,13156
Thursday,3,4,3,0,104,64,195,80,423,415,510,703,537,91,581,105,853,707,323,9,82,343,5,4,6144
Friday,2,4,1,5,794,122,757,297,603,297,598,675,511,65,1015,624,777,997,967,413,15,881,0,5,10425
Monday,0,4,3,1,630,647,691,836,6,92,809,728,490,577,343,151,635,357,531,818,365,117,2,3,8836
Tuesday,3,5,4,4,795,793,491,462,795,459,476,811,651,703,82,176,180,304,626,423,474,268,2,4,8991
Wednesday,1,5,0,0,699,684,684,373,597,290,632,545,166,277,514,667,208,304,637,362,580,56,1,4,8286
Thursday,5,2,3,4,258,562,609,86,728,282,418,189,337,240,776,72,430,287,557,22,526,268,2,0,6663
Friday,5,1,2,4,603,117,241,32,767,339,697,232,390,335,590,721,729,590,116,823,329,785,3,0,8451
Monday,0,5,4,5,101,617,733,752,569,222,88,97,995,134,655,856,15,669,941,367,90,657,4,5,8581
Tuesday,5,4,2,0,708,99,598,564,22,342,574,597,634,302,807,893,417,461,967,103,33,959,3,0,9094
Wednesday,5,0,1,2,497,456,655,270,36,321,970,689,913,778,93,431,683,280,275,713,149,713,3,2,8935
Thursday,0,2,1,2,471,404,635,308,538,288,109,413,232,761,386,685,226,680,855,601,357,480,2,2,8438
Friday,4,0,2,5,62,623,205,69,641,222,754,62,186,919,633,403,814,891,429,177,274,687,2,0,8064
Monday,1,0,2,0,700,361,691,641,305,257,812,357,456,548,249,703,554,125,603,622,347,498,3,3,8838
Tuesday,2,3,2,3,682,693,292,20,321,118,526,671,480,315,536,231,365,29,341,663,276,508,0,3,7080
Wednesday,1,3,2,5,185,744,597,647,544,666,328,144,266,98,774,268,250,768,74,587,303,594,0,3,7851
Thursday,2,1,2,3,120,52,553,618,343,478,120,788,622,791,135,648,458,770,818,325,339,355,3,0,8344
Friday,3,5,1,3,715,158,792,512,542,282,320,430,593,706,525,10,420,914,225,220,974,205,3,2,8560
Monday,5,1,1,5,166,890,633,131,856,890,285,172,724,666,405,446,641,363,732,709,868,614,5,5,10213
Tuesday,2,2,0,2,203,129,720,171,219,616,254,651,163,630,476,565,492,339,621,710,356,560,2,2,7885
Wednesday,5,3,5,2,98,716,812,245,319,285,486,711,394,758,302,464,346,732,359,798,1020,251,1,5,9117
Thursday,2,0,2,2,61,480,606,369,227,75,369,115,537,289,126,19,214,235,82,568,572,101,3,0,5054
Friday,0,4,1,4,485,264,106,65,441,183,14,160,274,763,238,363,680,547,288,234,102,134,0,0,5350
Monday,2,2,3,0,726,919,539,176,309,147,741,343,69,433,665,264,425,44,601,729,463,221,4,1,7826
Saturday,4,5,0,4,0,4,1,121,168,85,70,2555,2008,586,1522,1076,9,194,159,143,87,8,0,182,8991
Saturday,0,3,5,5,0,4,0,39,50,104,34,1119,2147,587,2682,1606,159,49,133,148,128,98,194,48,9342
Saturday,1,2,2,5,1,5,1,124,52,118,120,581,833,1043,1298,270,6,40,5,106,175,34,185,97,5104
Saturday,5,2,1,3,0,5,1,133,168,63,57,1120,730,1370,364,1722,196,0,38,111,100,171,85,23,6468
Saturday,3,4,2,5,4,5,0,171,138,183,74,2702,2145,1080,1672,555,82,140,171,97,96,19,40,117,9505
Saturday,2,2,0,4,2,4,3,111,0,155,165,1842,1107,774,404,1469,123,63,25,32,33,178,112,0,6610
Sunday,3,5,5,0,2,3,2,114,33,124,107,2427,3004,1856,1289,650,74,71,199,119,154,92,53,165,10551
Sunday,2,3,4,4,2,4,5,77,196,124,90,698,1437,1023,413,1716,174,117,120,94,61,33,180,75,6652
Sunday,4,3,0,3,4,0,0,126,18,107,200,2209,2813,638,1144,1727,178,19,126,7,24,73,31,99,9553
Sunday,4,4,0,3,3,1,4,2,191,37,9,1319,969,406,721,1664,182,101,168,4,196,198,142,84,6412
Sunday,0,2,3,4,5,5,2,5,146,12,54,701,1360,366,1079,1731,32,6,89,158,191,52,181,105,6289
Sunday,4,1,3,2,0,0,3,12,124,185,24,1782,890,1408,2257,502,46,12,85,24,10,57,137,20,7588
