Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,1,4,1,0,875,824,178,940,65,791,367,832,119,675,496,725,284,513,344,781,45,23,4,4,8891
Wednesday,2,1,5,1,283,543,730,2,717,358,544,52,261,453,95,441,518,464,171,306,331,134,3,1,6416
Thursday,0,4,1,2,480,786,433,73,45,268,274,213,603,150,846,427,808,330,509,115,124,53,4,2,6550
Friday,0,5,3,2,917,992,979,771,244,216,798,994,0,969,161,481,469,216,400,264,542,117,5,2,9547
Monday,2,5,4,0,974,906,580,884,324,212,702,291,227,453,342,329,1028,868,727,890,427,410,1,0,10586
Tuesday,3,5,3,3,491,213,434,589,233,607,690,809,623,442,783,723,319,1011,182,787,917,585,5,3,10460
Wednesday,0,3,4,3,191,28,162,663,14,874,877,290,522,641,525,201,166,432,404,366,659,223,5,2,7255
Thursday,1,0,1,2,238,463,701,221,700,2,407,803,693,713,750,155,744,24,698,736,650,564,5,0,9271
Friday,4,0,0,1,493,730,124,716,772,731,502,480,715,406,213,167,399,684,774,507,426,16,2,5,8867
Monday,2,1,5,0,206,311,331,384,381,149,734,27,494,509,366,299,901,485,423,343,354,256,1,3,6965
Tuesday,1,3,3,2,600,827,137,188,309,535,380,574,864,739,236,713,697,406,477,644,269,107,2,4,8717
Wednesday,1,1,2,4,673,221,795,614,712,861,326,671,722,718,10,702,477,41,504,538,18,91,4,5,8711
Thursday,2,1,1,2,780,889,51,109,300,427,280,782,513,117,36,333,203,86,777,618,83,777,1,0,7168
Friday,1,5,3,4,234,666,131,757,756,99,684,614,268,399,348,766,154,530,107,159,484,287,4,0,7460
Monday,3,2,3,1,170,73,0,281,34,423,553,18,635,201,575,347,283,74,363,168,680,322,1,3,5213
Tuesday,3,0,5,1,561,28,667,700,723,471,535,625,691,360,58,180,326,450,410,596,435,165,4,2,7996
Wednesday,4,5,2,2,44,755,535,685,589,407,277,754,67,53,430,733,779,272,360,115,436,693,4,4,8005
Thursday,3,3,5,4,819,328,668,561,847,16,740,163,853,766,386,983,375,415,652,508,266,1041,4,3,10409
Friday,2,0,4,2,779,859,936,303,72,639,884,188,739,256,108,626,121,742,717,26,380,773,0,4,9160
Monday,1,5,3,4,716,616,706,633,204,137,165,188,5,672,97,431,238,475,392,665,75,137,0,5,6570
Tuesday,1,1,1,1,883,302,857,96,505,355,909,9,483,157,824,949,582,253,702,638,898,399,3,4,9812
Wednesday,5,0,5,5,181,782,140,672,309,720,63,798,585,227,613,434,698,508,228,634,822,354,4,2,8789
Thursday,0,2,4,3,513,943,454,331,729,657,949,897,552,657,371,893,645,260,101,828,77,61,4,2,9933
Friday,0,1,3,4,549,405,452,538,580,930,718,818,300,885,1029,868,802,300,392,488,434,94,4,0,10594
Monday,4,0,4,3,920,207,449,522,427,834,346,578,417,605,921,101,713,441,428,853,477,50,4,3,9307
Tuesday,0,0,3,0,948,173,950,466,854,744,523,536,545,79,148,179,186,169,424,677,639,269,5,5,8522
Wednesday,3,3,3,2,152,671,397,777,326,177,755,765,472,323,494,146,688,594,590,57,392,772,2,1,8562
Thursday,1,5,4,3,660,593,417,363,853,338,710,513,630,271,827,685,501,65,675,815,286,213,3,1,9432
Friday,4,0,4,1,615,659,101,671,580,299,566,208,537,296,568,372,368,495,55,48,178,388,2,5,7020
Monday,1,3,4,1,92,2,834,140,316,32,77,340,25,757,487,66,117,367,363,581,361,543,5,5,5519
Saturday,5,1,4,0,5,3,59,189,64,137,129,194,88,90,17,160,589,825,1456,356,89,197,190,0,4847
Saturday,0,1,2,3,3,2,161,104,74,77,19,60,5,21,79,27,2443,1199,2990,652,132,129,39,5,8227
Saturday,4,5,2,1,2,1,127,84,104,35,64,115,185,73,166,40,2145,1293,875,1696,19,64,28,2,7130
Saturday,1,2,0,1,1,5,167,120,200,112,166,2,105,14,27,191,1464,1046,719,447,159,43,111,0,5103
Saturday,5,0,5,0,0,0,157,8,67,50,189,39,14,55,37,133,512,1041,2031,1504,81,120,58,2,6108
Saturday,1,5,0,1,5,5,191,95,193,39,126,101,190,153,115,157,1525,1153,1878,769,12,195,59,2,6970
Sunday,2,4,2,1,0,1,171,32,147,113,45,41,96,64,19,18,2679,2198,613,1121,164,1,94,5,7631
Sunday,2,2,0,4,1,1,156,20,102,191,159,181,144,128,109,162,1878,937,1382,518,112,190,5,4,6388
Sunday,2,3,1,3,3,4,128,187,13,189,140,136,37,63,96,66,1064,582,2646,2103,82,5,127,4,7684
Sunday,5,2,4,5,2,5,137,162,198,95,2,45,74,198,19,79,538,331,1050,1321,163,64,45,0,4544
Sunday,3,5,3,3,0,2,146,13,182,182,51,171,127,9,18,199,2409,1750,1218,648,175,60,15,4,7393
Sunday,5,2,5,5,4,5,5,181,18,159,40,109,59,77,125,195,2306,459,908,1865,1,93,78,5,6709
