Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,0,4,3,5,132,434.0,466,390,3269,3823,160,189,5,32,19,145,174,134,42,163,167,41,0,1,9798.0
Wednesday,3,2,1,1,161,347.0,305,328,2454,2661,190,109,199,98,20,69,35,10,44,180,131,38,0,1,7387.0
Thursday,4,1,4,1,85,328.0,297,309,2362,2543,114,195,164,122,57,98,153,33,152,104,71,189,2,5,7393.0
Friday,1,5,5,1,8,343.0,332,373,2892,3274,48,71,85,165,50,136,23,128,164,116,144,72,1,1,8438.0
Monday,0,5,4,3,47,296.0,318,348,2431,2901,67,84,115,192,58,130,69,42,200,1,133,182,1,3,7630.0
Tuesday,2,2,4,2,8,725.0,733,748,5543,6713,176,30,143,185,109,38,127,80,31,37,192,47,5,1,15681.0
Wednesday,3,5,1,5,48,513.0,545,520,4090,4982,176,75,55,180,126,66,91,33,90,83,163,66,4,0,11920.0
Thursday,0,5,5,3,59,394.0,466,409,3492,3802,23,31,141,4,176,148,151,73,127,4,167,146,3,4,9833.0
Friday,2,4,3,1,39,466.0,465,404,3352,3772,39,21,22,136,170,116,138,26,62,12,57,179,5,3,9494.0
Monday,1,1,3,5,92,463.0,448,447,3580,3867,31,97,60,191,67,156,62,85,49,70,177,70,3,5,10030.0
Tuesday,0,1,5,0,162,620.0,688,705,5220,6157,143,129,134,11,52,3,1,109,111,180,25,34,2,4,14496.0
Wednesday,4,1,5,5,46,398.0,406,423,2972,3328,124,84,49,61,188,105,187,128,173,110,200,45,3,5,9050.0
Thursday,4,1,1,3,139,626.0,583,565,4655,5275,108,76,55,105,49,103,193,1,176,189,176,14,4,5,13106.0
Friday,1,0,4,1,121,377.0,350,389,3034,3505,38,11,102,109,123,167,7,18,84,174,173,9,0,4,8801.0
Monday,2,4,0,5,63,672.0,614,661,4857,5933,73,18,155,16,12,25,169,151,50,34,66,30,1,4,13615.0
Tuesday,0,2,1,5,127,804.0,832,764,6269,7416,180,22,63,174,75,32,100,126,139,2,159,158,3,5,17458.0
Wednesday,2,2,1,4,44,561.0,519,585,4300,5003,180,194,55,108,58,75,183,122,109,25,82,50,1,5,12268.0
Thursday,0,2,2,2,39,744.0,767,725,6154,7011,170,82,29,99,71,66,166,117,143,183,105,161,2,3,16843.0
Friday,3,4,5,2,157,365.0,321,396,2721,3183,48,137,43,118,150,158,8,122,118,11,94,80,0,1,8245.0
Monday,3,3,1,1,161,667.0,575,649,5068,5674,53,60,32,96,196,158,115,93,63,112,31,106,3,2,13922.0
Tuesday,5,3,0,1,2,730.0,776,787,6378,7118,53,148,51,20,189,43,99,184,95,101,169,125,0,3,17080.0
Wednesday,2,0,3,2,164,644.0,594,642,5195,5702,18,146,43,43,81,6,95,139,122,152,195,167,5,3,14163.0
Thursday,0,4,3,1,136,726.0,759,733,5940,7171,139,153,181,98,52,92,138,43,59,75,16,103,1,3,16626.0
Friday,5,0,1,2,183,795.0,807,802,5772,7168,63,45,48,59,87,104,48,11,62,106,192,86,5,5,16456.0
Monday,3,0,5,0,151,295.0,332,307,2506,2835,20,21,94,8,59,119,41,117,11,170,162,44,1,1,7302.0
Tuesday,4,0,5,0,175,692.0,622,637,4807,5979,48,153,40,82,55,23,30,40,118,87,16,150,0,2,13765.0
Wednesday,2,5,5,2,78,742.0,777,726,5746,6957,127,158,100,43,76,89,168,93,191,68,99,76,5,5,16338.0
Thursday,4,1,5,5,197,497.0,415,477,3606,4148,82,173,130,23,167,135,97,113,49,88,42,123,3,4,10584.0
Friday,1,1,2,1,179,438.0,406,412,3049,3526,169,171,87,103,180,90,162,171,113,17,157,132,1,3,9571.0
Monday,3,1,3,4,46,333.0,370,357,2929,3292,80,154,114,103,184,18,95,41,60,89,5,156,3,0,8440.0
Saturday,2,3,5,2,3,1.0,3,19,31,91,100,975,659,1578,362,1279,111,170,22,68,193,67,70,76,5890.0
Saturday,4,4,2,0,4,4.0,1,53,35,76,28,1919,511,1403,2328,954,184,131,109,103,13,114,31,169,8180.0
Saturday,1,5,2,5,4,2.0,1,26,110,74,136,1458,344,1102,712,1732,193,192,110,106,145,194,152,63,6869.0
Saturday,1,0,2,1,1,2.0,3,104,33,139,47,1275,1650,405,690,973,36,166,107,168,22,158,116,141,6240.0
Saturday,0,1,0,1,1,4.0,0,30,115,0,61,2392,2975,629,1781,1168,71,29,152,179,80,130,102,197,10098.0
Saturday,4,2,0,4,0,2.0,0,180,149,178,33,1408,531,1853,981,2336,102,58,45,91,55,190,124,119,8445.0
Sunday,4,0,0,2,4,5.0,3,110,26,121,81,1154,532,2190,2654,1639,43,33,15,129,54,42,28,0,8869.0
Sunday,0,3,0,0,5,5.0,3,198,38,58,116,962,2243,439,1773,1396,101,126,177,17,74,78,77,45,7934.0
Sunday,1,0,4,5,4,0.0,3,24,156,167,76,1153,1481,1803,360,757,33,170,51,99,27,139,199,6,6718.0
Sunday,3,1,2,3,5,3.0,5,90,33,18,12,2039,1622,459,1247,807,97,127,3,185,148,11,55,68,7043.0
Sunday,3,2,2,0,5,0.0,0,45,108,17,100,2532,1034,1524,576,2000,134,78,116,64,170,107,171,46,8834.0
Sunday,4,4,5,3,1,5.0,0,74,16,154,18,1211,1501,571,878,282,110,164,73,131,86,18,38,32,5379.0
