Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,1,5,2,1,55,179,88,184,41,105,60,400,1229,846,1619,4012,90,57,62,161,72,176,4,2,9451
Wednesday,4,3,0,2,1,101,92,55,71,31,128,541,1489,975,1950,4840,179,106,168,134,57,60,1,5,10993
Thursday,4,3,5,0,37,111,141,55,179,80,160,674,2087,1370,2686,6644,102,175,199,73,48,6,3,1,14843
Friday,2,3,4,3,0,66,165,94,22,100,136,672,2079,1414,2662,6680,17,170,29,49,177,2,4,1,14551
Monday,5,4,2,5,154,119,86,166,105,141,103,765,2259,1495,2913,7303,182,163,148,68,92,55,4,1,16338
Tuesday,4,0,4,3,192,82,102,101,181,1,3,264,801,586,1003,2565,173,197,142,29,138,95,5,2,6673
Wednesday,4,4,5,3,172,54,163,199,17,192,128,762,2093,1403,2787,6926,121,56,183,73,162,87,3,4,15601
Thursday,5,5,3,2,189,113,47,91,108,75,130,483,1430,931,1827,4598,90,117,152,48,119,148,4,1,10716
Friday,4,3,4,1,19,81,180,110,132,138,152,535,1511,1033,2002,5006,21,171,101,188,83,156,2,1,11634
Monday,3,0,3,4,168,108,179,53,85,121,65,533,1435,934,1911,4655,56,145,109,47,82,192,3,3,10894
Tuesday,5,2,4,4,79,185,16,109,54,21,179,660,1865,1249,2507,6118,176,89,120,9,105,84,1,4,13645
Wednesday,3,5,0,4,43,192,72,43,101,49,19,376,1052,707,1367,3466,104,47,144,40,111,16,0,3,7964
Thursday,5,4,0,1,7,141,146,47,155,100,68,434,1339,890,1776,4299,21,104,156,58,139,141,2,1,10034
Friday,2,1,5,0,76,19,169,2,24,105,91,344,930,594,1221,2985,9,32,199,72,85,124,5,5,7099
Monday,0,2,0,1,27,174,37,68,0,64,43,567,1536,1062,2035,5013,1,50,32,98,126,82,2,0,11020
Tuesday,4,5,5,2,128,106,114,75,25,42,39,807,2253,1507,2955,7424,152,109,129,47,0,49,1,0,15978
Wednesday,3,2,4,4,161,146,194,142,123,15,188,411,1155,839,1612,3831,8,91,87,92,156,103,1,2,9370
Thursday,4,1,1,0,185,44,42,19,170,164,122,312,973,659,1266,3135,101,147,60,77,128,138,5,3,7756
Friday,1,5,2,5,20,8,72,74,59,83,166,666,1830,1279,2414,6070,131,69,49,38,96,129,1,3,13270
Monday,5,0,1,3,84,63,128,62,97,13,146,440,1118,791,1434,3654,27,143,80,134,135,163,2,1,8724
Tuesday,5,2,1,2,191,158,84,92,1,13,131,561,1544,996,2011,4911,97,149,132,164,136,156,1,5,11543
Wednesday,1,2,1,0,79,110,148,144,144,28,50,580,1692,1095,2205,5498,93,110,187,143,138,29,5,5,12487
Thursday,5,3,3,4,55,9,8,155,193,9,133,369,985,680,1363,3305,30,186,141,77,27,131,2,5,7878
Friday,2,4,4,5,164,182,13,145,53,147,27,424,1214,861,1631,4010,95,175,84,147,80,159,3,5,9634
Monday,3,2,5,3,47,9,24,69,163,36,88,732,1952,1384,2647,6476,176,136,105,49,193,93,2,3,14397
Tuesday,2,3,2,3,82,140,152,139,8,151,193,437,1144,829,1559,3823,21,78,54,125,16,197,5,5,9168
Wednesday,0,1,4,4,21,10,198,193,172,180,79,663,1722,1154,2316,5825,21,147,112,156,46,70,0,2,13096
Thursday,5,0,4,0,52,15,10,91,27,39,39,659,1850,1211,2429,5937,4,71,37,12,26,194,2,3,12717
Friday,4,3,0,1,190,103,37,186,136,186,192,466,1256,822,1610,3953,23,191,167,165,106,66,3,1,9867
Monday,3,2,5,1,191,94,3,102,56,83,53,380,934,625,1228,3021,4,138,142,118,86,187,5,5,7466
Saturday,2,0,2,3,4,3,1,96,121,173,13,1780,1451,418,1040,694,190,152,56,60,48,156,126,155,6744
Saturday,3,4,0,4,4,2,3,160,80,164,19,1410,2354,515,973,1868,66,196,188,7,69,198,110,9,8406
Saturday,0,4,4,2,1,0,3,185,1,161,192,1140,2642,1619,542,2191,108,154,53,12,64,22,42,26,9168
Saturday,5,5,2,4,3,2,0,29,81,95,30,671,906,348,1262,1462,79,45,83,23,199,180,22,2,5538
Saturday,5,2,1,4,3,4,2,86,76,200,22,1172,1564,752,1954,399,140,134,44,96,28,29,174,46,6937
Saturday,1,5,0,5,1,1,4,26,129,180,64,1124,873,1468,299,649,193,20,68,131,91,61,134,1,5528
Sunday,4,3,4,3,1,2,5,153,6,39,160,1849,3000,2468,683,1218,92,14,88,197,20,62,8,35,10114
Sunday,5,2,2,3,1,5,1,155,59,104,13,1705,586,1159,2241,2753,24,51,128,90,107,56,149,132,9531
Sunday,5,3,3,2,2,5,4,150,88,0,18,2268,1707,1187,643,2897,59,59,115,100,28,111,122,112,9688
Sunday,4,3,2,2,5,5,2,168,33,84,0,1206,313,964,637,1504,12,148,63,140,13,84,104,126,5622
Sunday,2,2,2,0,3,3,2,115,120,57,32,1655,2095,498,891,1266,39,159,198,172,115,9,173,72,7680
Sunday,5,5,4,0,1,1,3,154,165,41,65,2467,1007,1530,501,1968,53,151,145,12,161,101,88,171,8799
