Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,0,1,3,4,13,54,146,128,3,69,118,769,3458,3470,401,675,131,185,102,20,5,89,5,0,9849
Wednesday,1,3,1,0,65,25,0,95,38,189,167,1158,5496,5575,589,1150,99,140,78,176,182,39,2,4,15272
Thursday,0,2,3,2,58,56,131,93,118,45,4,750,3531,3469,441,741,19,123,61,88,83,87,0,4,9909
Friday,0,0,2,1,13,148,24,70,68,182,88,637,2946,3013,297,621,50,124,35,29,77,11,5,3,8444
Monday,4,1,3,1,171,194,59,191,17,38,23,1530,7349,7289,776,1495,2,101,57,172,73,181,5,1,19733
Tuesday,4,1,1,1,18,7,5,198,119,83,184,850,3976,3962,464,787,78,158,89,192,27,40,5,3,11252
Wednesday,1,3,2,0,46,69,87,97,154,184,198,1112,5550,5543,589,1177,21,140,10,115,200,87,1,2,15388
Thursday,1,3,3,5,191,102,30,145,61,102,170,575,2743,2718,371,616,80,81,6,134,62,121,2,3,8325
Friday,2,1,0,3,198,40,90,78,182,122,100,774,3794,3819,393,785,166,190,190,91,160,47,4,1,11230
Monday,4,3,0,2,97,65,141,147,184,34,43,908,4290,4324,467,948,21,195,161,158,121,116,4,2,12435
Tuesday,3,1,2,1,141,66,35,10,80,38,150,1079,5273,5286,570,1152,7,70,4,173,106,13,0,1,14261
Wednesday,3,3,2,5,159,19,95,64,148,164,200,1449,7024,7057,743,1412,189,192,65,54,177,168,3,0,19395
Thursday,4,0,1,0,136,132,154,163,154,142,145,807,3691,3673,377,726,72,91,47,114,23,118,4,2,10776
Friday,2,3,3,0,28,193,124,38,25,100,173,558,2533,2518,301,579,110,33,51,191,182,190,3,3,7941
Monday,3,4,1,1,37,32,24,146,59,28,148,967,4679,4642,506,1012,115,53,3,57,35,154,4,1,12711
Tuesday,5,1,3,5,167,14,57,5,86,119,183,1459,6932,6981,700,1480,87,185,161,165,94,178,1,1,19069
Wednesday,4,5,2,2,181,38,109,174,86,62,181,1518,7413,7448,833,1557,36,67,150,187,163,160,2,5,20383
Thursday,1,4,5,5,11,55,167,165,107,87,186,729,3421,3373,364,746,155,90,64,39,95,119,0,0,9988
Friday,2,3,4,5,160,45,105,68,68,141,182,1007,4854,4836,502,965,153,197,166,65,118,2,3,1,13652
Monday,3,4,4,2,159,63,70,82,147,143,63,1038,4783,4768,505,998,192,191,12,90,152,49,3,4,13525
Tuesday,4,5,3,1,53,181,197,196,26,59,16,946,4524,4607,484,972,136,119,174,104,32,79,5,0,12923
Wednesday,2,1,4,2,40,46,192,10,191,198,106,1332,6368,6392,644,1340,151,86,184,34,48,122,0,3,17496
Thursday,3,1,0,5,53,137,90,28,99,32,149,640,3065,3065,313,621,126,32,15,169,32,194,3,2,8874
Friday,1,0,2,2,112,45,147,28,196,124,87,838,4186,4114,428,890,157,24,127,72,198,71,1,5,11855
Monday,1,1,5,0,126,49,182,12,99,9,85,1513,7240,7226,816,1462,84,60,197,18,16,147,0,2,19350
Tuesday,5,5,1,2,1,160,196,119,200,107,7,789,3584,3647,410,729,139,30,38,35,180,187,2,5,10578
Wednesday,2,3,1,0,165,104,182,159,20,126,10,683,3051,3052,335,624,199,31,12,183,83,157,1,2,9185
Thursday,4,1,4,0,192,75,17,26,152,117,76,1307,6343,6351,700,1331,103,134,5,106,134,178,5,3,17364
Friday,3,2,0,5,11,138,23,190,61,23,7,944,4467,4464,509,947,185,185,171,89,33,76,3,1,12537
Monday,5,3,4,5,148,57,137,167,115,73,70,1504,7432,7355,816,1512,61,14,187,57,18,154,1,2,19897
Saturday,0,5,3,2,1,0,142,168,176,130,103,106,139,63,45,20,1739,1324,863,474,5,127,146,3,5784
Saturday,4,4,5,2,1,3,186,134,124,66,144,9,68,104,56,44,1070,1532,2572,2057,137,59,169,3,8553
Saturday,3,2,3,3,1,0,75,101,37,21,135,94,110,67,131,84,1577,1061,607,2658,148,193,18,3,7132
Saturday,2,0,5,4,2,1,17,195,19,166,121,8,148,24,59,43,456,1814,795,1149,159,41,190,0,5418
Saturday,0,0,5,1,1,5,141,140,195,36,32,138,14,68,141,55,1457,593,854,353,86,122,113,5,4555
Saturday,1,1,3,1,0,2,182,197,94,73,126,173,43,35,100,53,2346,1434,936,494,106,36,145,0,6581
Sunday,5,1,4,3,3,2,39,110,191,103,50,156,42,73,143,28,599,1151,1734,2263,200,148,43,2,7093
Sunday,2,1,1,3,2,5,115,165,123,195,23,73,50,96,47,197,1388,1851,2327,468,37,51,104,0,7324
Sunday,4,0,4,3,1,4,79,26,138,91,187,160,41,23,187,93,1660,1287,971,366,142,65,186,0,5718
Sunday,3,5,0,0,1,0,8,60,70,50,122,116,93,20,197,40,517,1966,1473,995,128,17,24,0,5905
Sunday,2,3,4,0,3,2,173,30,52,158,35,191,114,28,141,69,1608,1257,1018,719,81,122,134,5,5949
Sunday,0,0,0,1,5,5,180,141,76,42,84,170,104,104,134,136,363,997,1638,717,30,119,98,1,5145
