Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,2,3,1,0,149,42,178,61,83,199,30,1621,1641,1623,4068,3992,154,108,119,8,186,89,5,2,14364
Wednesday,0,0,2,3,76,35,82,121,55,0,64,1878,1829,1842,4498,4492,64,112,72,64,181,81,1,4,15556
Thursday,4,1,1,4,25,177,32,58,99,156,168,2084,2127,2098,5202,5242,48,111,141,75,91,113,4,2,18063
Friday,0,3,0,5,10,143,158,33,52,129,159,1852,1890,1868,4598,4576,160,157,28,173,104,106,5,4,16213
Monday,2,3,0,5,13,156,163,6,45,158,183,1283,1340,1337,3238,3222,119,66,157,137,29,62,2,1,11727
Tuesday,0,2,3,0,80,98,86,95,128,16,127,1801,1811,1798,4522,4494,148,73,82,134,167,144,3,3,15815
Wednesday,5,4,4,5,105,35,149,69,159,27,33,1307,1279,1302,3115,3099,116,75,180,81,177,12,5,3,11346
Thursday,5,0,4,5,173,194,118,122,27,176,158,1385,1393,1400,3301,3284,136,80,53,23,141,193,1,5,12377
Friday,4,4,0,2,63,140,184,56,79,76,191,2024,1993,1978,5029,5019,12,69,147,84,90,143,0,5,17392
Monday,5,5,4,4,178,31,10,64,180,19,39,2791,2722,2755,6871,6829,154,163,58,177,164,88,0,0,23311
Tuesday,3,1,0,0,86,56,91,11,198,130,87,1613,1550,1600,3834,3881,136,167,158,33,28,88,5,4,13760
Wednesday,0,5,2,4,18,174,89,25,173,190,151,2424,2429,2348,5906,5950,177,26,122,146,197,113,3,1,20673
Thursday,4,4,5,1,96,71,170,80,144,195,117,2277,2323,2331,5718,5678,57,92,13,172,177,171,2,0,19898
Friday,5,1,0,2,7,98,2,188,9,1,105,2625,2644,2622,6387,6430,24,159,89,5,28,101,4,2,21538
Monday,0,5,5,0,61,68,179,184,23,2,26,1925,1943,1897,4716,4645,53,124,62,158,42,6,2,4,16130
Tuesday,1,3,5,5,186,165,136,100,152,126,22,1760,1730,1764,4252,4306,58,143,167,91,111,56,5,0,15344
Wednesday,2,3,3,3,162,150,5,120,55,74,32,1096,1062,1048,2682,2664,127,180,102,26,154,61,5,3,9819
Thursday,2,4,4,4,143,53,104,70,11,61,48,1460,1491,1472,3562,3567,7,86,106,164,112,151,5,0,12687
Friday,0,2,5,4,80,16,11,43,0,163,95,2155,2076,2103,5164,5196,157,130,66,66,54,174,5,2,17767
Monday,1,1,3,4,129,124,135,35,77,200,62,1415,1469,1418,3467,3460,39,67,177,18,24,172,5,3,12505
Tuesday,0,4,1,0,192,95,52,2,162,29,138,1218,1145,1234,2894,2884,132,179,118,27,172,63,4,1,10746
Wednesday,2,4,1,4,103,53,33,112,73,55,69,2958,2992,2974,7387,7428,43,120,46,158,141,60,0,3,24819
Thursday,4,2,0,0,57,36,53,112,86,136,149,1880,1879,1821,4552,4629,85,9,71,6,16,87,1,4,15675
Friday,2,1,0,3,120,95,105,63,61,140,130,2160,2232,2175,5404,5477,11,15,135,81,64,29,4,5,18512
Monday,0,5,4,5,67,112,172,81,133,104,176,1409,1334,1375,3301,3325,48,73,77,32,91,147,5,1,12077
Tuesday,5,4,1,2,112,62,97,76,145,118,180,2761,2827,2764,6943,6992,48,127,68,1,152,89,3,2,23579
Wednesday,5,1,0,2,184,185,193,78,148,185,160,2510,2523,2527,6316,6309,121,71,187,114,59,192,3,1,22074
Thursday,2,1,0,0,175,101,172,13,159,14,51,2468,2464,2545,6179,6189,134,90,160,83,71,193,2,4,21270
Friday,5,1,5,0,157,44,58,1,17,106,64,1848,1869,1883,4492,4490,197,56,158,195,182,39,1,2,15870
Monday,3,1,2,4,151,124,185,171,112,175,111,2740,2749,2744,6850,6874,82,40,38,156,120,163,1,2,23598
Saturday,5,0,1,0,2,2,5,42,59,119,185,556,2009,2583,1543,1046,102,5,134,146,93,92,170,12,8911
Saturday,5,4,1,3,2,2,3,176,121,200,14,2142,2589,1638,608,1104,75,43,177,191,5,120,135,50,9408
Saturday,3,4,5,5,3,4,0,184,163,161,19,2231,1650,2758,622,1093,23,169,35,28,34,199,73,150,9616
Saturday,1,3,1,4,0,3,0,153,18,5,93,1823,2409,608,1192,3010,162,12,3,110,152,87,91,35,9975
Saturday,1,1,0,1,0,3,0,175,86,169,69,1962,1619,432,1171,861,173,164,135,198,123,113,84,92,7632
Saturday,4,2,3,1,4,1,3,184,172,52,171,1796,1206,3019,2445,670,116,20,188,128,36,102,181,99,10603
Sunday,0,2,2,2,1,2,1,186,172,25,110,1016,2009,2533,1502,551,183,156,122,176,170,51,110,153,9235
Sunday,1,0,2,3,1,2,4,139,4,51,127,1705,1179,660,2323,2856,92,50,143,15,45,117,182,15,9716
Sunday,0,5,4,3,5,0,5,103,38,74,44,640,944,1557,1289,312,131,125,146,54,134,180,26,191,6010
Sunday,0,0,2,0,1,3,4,96,71,151,194,2325,665,2925,1805,1205,99,193,180,30,167,21,85,112,10334
Sunday,5,3,0,5,1,4,0,124,16,7,98,1036,1546,2587,528,2094,178,59,174,9,157,31,191,6,8859
Sunday,0,3,5,3,5,3,5,135,59,150,16,1892,1201,787,1568,414,54,76,83,36,99,164,80,96,6934
