Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,1,2,4,0,498,1065,616,331,519,382,339,229,845,397,232,136,7071,2830,1417,709,703,316,3,5,18650
Wednesday,5,1,1,4,591,767,441,687,73,27,50,94,170,304,757,586,4227,1764,845,446,420,786,5,2,13053
Thursday,5,2,1,1,950,361,816,916,230,158,638,932,115,779,356,366,6293,2521,1256,713,620,38,1,4,18072
Friday,5,0,5,1,48,198,166,443,687,154,450,711,340,341,157,594,3126,1334,715,334,309,9,4,2,10133
Monday,3,5,1,0,746,961,322,237,809,283,622,116,409,195,581,598,6479,2595,1360,692,645,928,4,4,18595
Tuesday,1,5,0,0,619,397,926,23,760,292,917,574,151,806,969,216,6418,2641,1353,640,639,95,3,4,18449
Wednesday,3,5,4,4,613,592,494,903,787,419,982,31,364,278,674,808,6009,2391,1228,608,593,364,0,4,18158
Thursday,2,0,5,1,603,679,697,681,751,498,418,724,204,604,350,811,4046,1626,875,474,403,77,4,5,14538
Friday,1,4,3,0,1021,802,628,14,349,986,828,549,100,399,630,355,7563,3005,1588,838,748,944,4,1,21360
Monday,4,4,3,3,719,585,586,315,943,95,206,856,672,171,664,407,5421,2240,1079,611,537,238,0,1,16360
Tuesday,4,2,4,3,233,474,456,468,683,613,317,824,720,918,758,1021,6365,2601,1277,695,631,389,4,5,19465
Wednesday,2,5,4,2,833,818,156,835,517,933,497,890,927,587,627,986,6036,2463,1214,659,600,229,4,3,19827
Thursday,0,1,2,4,712,631,1057,954,160,259,955,1052,174,565,586,1087,7490,3046,1546,785,739,91,3,5,21904
Friday,5,0,2,0,553,743,605,895,226,560,264,383,76,267,452,594,4949,2026,1053,523,493,899,1,2,15571
Monday,3,4,2,2,573,718,413,180,602,705,246,809,668,667,366,93,4496,1819,904,458,440,129,0,0,14297
Tuesday,0,4,3,1,726,25,335,945,60,894,565,652,280,772,314,84,5500,2258,1088,626,542,109,5,3,15791
Wednesday,4,1,2,5,776,867,61,352,1072,543,47,606,471,40,357,815,7478,2991,1557,756,745,754,4,2,20306
Thursday,3,3,4,0,1023,594,150,40,179,802,323,442,155,709,222,883,6430,2601,1304,670,635,150,2,3,17327
Friday,2,4,3,4,967,683,941,794,603,687,483,90,439,851,892,404,6161,2513,1229,656,614,714,5,2,19741
Monday,3,3,4,3,544,1064,475,385,573,804,690,725,639,835,750,588,7258,2897,1511,784,717,362,0,1,21615
Tuesday,4,2,0,2,566,201,599,822,715,773,155,220,785,10,737,960,5892,2379,1246,623,586,518,3,5,17803
Wednesday,4,3,1,3,132,874,571,463,523,670,884,123,213,554,148,574,5714,2337,1137,627,564,805,4,5,16933
Thursday,1,5,5,3,237,945,95,56,844,684,630,788,44,386,965,953,7266,2986,1469,759,725,467,3,2,20318
Friday,1,2,2,1,687,649,213,436,602,414,260,181,616,512,712,579,3037,1216,603,297,297,99,3,2,11421
Monday,2,2,0,2,812,740,674,356,293,707,483,35,574,667,144,32,5023,1998,1067,511,493,497,3,4,15119
Tuesday,4,3,4,4,39,525,487,595,342,281,245,482,394,794,610,817,3898,1609,829,441,387,730,0,3,13523
Wednesday,4,5,2,2,316,484,549,457,181,853,354,410,343,826,101,778,5394,2142,1068,570,530,119,3,0,15491
Thursday,5,2,1,0,640,417,148,960,635,141,953,352,525,508,859,640,6831,2751,1431,754,676,10,2,0,19241
Friday,2,3,5,0,437,788,876,510,757,699,166,803,541,605,694,46,4809,1972,1000,558,475,685,4,1,16436
Monday,5,2,4,4,195,592,820,651,82,182,529,41,130,153,662,628,4283,1692,839,487,419,693,1,3,13097
Saturday,1,0,2,2,2,3,0,105,48,4,25,2268,604,1761,1153,2860,71,70,178,187,35,145,50,126,9700
Saturday,1,4,1,3,3,3,4,159,85,151,113,657,1602,1047,1337,351,84,133,51,26,90,2,152,82,6141
Saturday,2,3,5,2,3,3,2,60,22,144,76,2727,545,2150,1091,1649,168,145,173,124,110,30,65,184,9483
Saturday,5,0,5,2,5,5,5,81,81,43,6,2906,1793,590,1234,2401,32,161,98,79,96,31,137,19,9815
Saturday,4,2,5,0,5,4,3,57,183,147,134,489,1301,2105,909,1683,98,52,13,35,79,73,47,67,7495
Saturday,4,4,1,2,2,0,0,87,54,62,162,872,321,639,1499,1186,112,197,199,174,22,54,162,82,5897
Sunday,3,5,4,3,2,2,2,122,57,86,149,2517,1541,1962,566,1049,48,49,157,120,141,44,0,119,8748
Sunday,2,5,0,5,2,2,4,158,180,25,166,609,824,1072,1348,331,147,96,34,10,97,117,122,43,5399
Sunday,2,3,4,2,5,4,0,148,172,28,144,1816,2939,1226,2331,599,127,114,122,130,3,152,74,137,10282
Sunday,1,5,5,0,4,1,2,175,1,2,175,2409,608,1235,2942,1819,150,134,165,27,86,36,105,152,10239
Sunday,5,0,0,0,5,2,4,196,126,135,53,1691,2786,1175,634,2175,186,152,61,149,198,179,82,110,10104
Sunday,0,2,2,5,1,5,1,70,49,108,146,523,1031,2579,2058,1606,57,101,61,191,145,70,73,145,9029
