Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,4,5,5,5,162,1856.0,474,533,4539,553,153,146,72,171,80,54,197,128,111,144,26,12,5,2,9437.0
Wednesday,0,0,3,2,123,1408.0,364,421,3314,427,181,23,91,35,62,170,71,105,144,173,126,184,0,3,7430.0
Thursday,4,2,0,5,53,1834.0,532,496,4385,507,176,194,100,134,63,72,189,163,74,136,98,113,2,0,9332.0
Friday,3,2,3,5,138,2802.0,785,733,6983,740,1,32,69,117,182,18,191,161,31,1,145,106,0,4,13252.0
Monday,1,5,1,1,10,1671.0,467,416,3965,495,18,68,120,136,140,138,181,98,11,126,95,17,5,1,8186.0
Tuesday,0,3,1,4,15,2294.0,567,622,5662,569,154,87,180,193,196,116,8,114,59,152,178,51,3,2,11230.0
Wednesday,5,5,1,0,20,1328.0,364,345,3283,402,15,127,18,170,123,144,36,19,49,103,49,89,2,1,6698.0
Thursday,1,0,2,1,98,1979.0,502,533,4900,589,156,130,10,132,176,56,65,52,199,57,171,44,4,1,9858.0
Friday,0,5,3,3,110,1244.0,389,296,2931,344,165,197,144,73,124,50,66,48,73,158,29,157,1,1,6611.0
Monday,2,5,3,0,80,1878.0,538,489,4487,505,12,173,57,118,9,75,10,97,155,129,16,60,5,1,8904.0
Tuesday,1,0,5,5,179,2335.0,671,623,5722,652,70,84,148,199,65,108,49,142,128,60,70,6,4,2,11328.0
Wednesday,0,0,4,4,38,1371.0,389,382,3386,353,193,194,58,143,117,159,117,160,49,57,4,160,3,0,7341.0
Thursday,0,3,3,0,146,1219.0,352,321,2950,296,134,122,22,92,37,126,198,83,125,27,104,39,3,2,6404.0
Friday,0,1,0,4,173,2861.0,702,761,6938,773,55,15,46,123,109,130,145,101,65,86,10,32,1,5,13136.0
Monday,3,1,3,0,43,1431.0,381,404,3579,404,75,74,80,49,19,166,184,118,127,82,131,127,3,1,7485.0
Tuesday,2,2,2,5,26,2072.0,558,538,5061,545,123,39,169,125,49,0,64,134,136,195,69,14,4,4,9936.0
Wednesday,2,4,2,2,174,1411.0,375,413,3513,380,87,26,65,132,173,19,174,21,185,119,42,119,3,4,7445.0
Thursday,3,2,0,0,26,3089.0,776,811,7483,774,200,0,112,111,77,175,24,34,86,179,183,198,0,0,14343.0
Friday,4,0,0,3,46,1542.0,412,456,3729,442,175,69,65,131,165,92,158,158,196,77,16,79,0,3,8018.0
Monday,4,0,2,3,8,1797.0,497,523,4382,453,152,163,41,27,86,182,165,5,144,13,27,141,2,1,8818.0
Tuesday,0,0,4,0,36,1519.0,384,378,3552,375,41,60,151,115,189,11,154,191,147,188,165,200,4,2,7866.0
Wednesday,4,0,3,4,108,2346.0,653,665,5677,595,190,69,105,157,142,157,58,61,21,59,151,155,0,0,11380.0
Thursday,0,4,2,2,75,1531.0,423,433,3666,380,173,108,158,50,21,197,76,102,55,173,179,50,4,5,7867.0
Friday,4,2,3,2,38,2725.0,739,754,6694,693,73,7,142,110,134,123,18,143,63,154,177,22,0,2,12822.0
Monday,3,5,2,3,94,2643.0,746,744,6601,683,139,93,24,88,173,81,6,148,34,46,2,115,0,1,12474.0
Tuesday,0,1,3,1,181,2524.0,637,698,6087,695,174,37,189,12,44,144,51,123,63,122,17,108,0,2,11913.0
Wednesday,3,4,3,4,102,1547.0,366,402,3635,402,135,104,97,117,111,40,63,61,96,52,136,110,5,1,7596.0
Thursday,3,3,4,4,9,2527.0,688,660,6244,696,68,37,60,56,51,122,23,9,196,11,170,144,3,4,11792.0
Friday,5,2,5,4,19,1712.0,505,446,4170,512,72,68,37,114,141,112,174,124,2,0,100,34,1,0,8359.0
Monday,4,2,5,2,40,1249.0,351,334,3052,311,120,126,0,153,140,188,24,22,143,118,105,23,0,1,6513.0
Saturday,4,4,0,4,1,1.0,1,12,54,80,157,493,2191,1328,954,1746,53,70,136,24,161,197,196,138,8005.0
Saturday,4,2,0,5,0,0.0,2,62,167,70,106,2393,1446,511,963,1900,42,56,161,0,59,6,21,189,8165.0
Saturday,5,1,4,0,2,0.0,4,64,143,78,87,394,1943,1606,1250,835,47,37,28,173,31,88,163,90,7073.0
Saturday,2,0,4,3,4,2.0,3,167,166,146,144,361,1437,781,1755,1076,40,42,83,102,76,143,157,133,6827.0
Saturday,2,3,1,2,1,1.0,3,135,64,11,55,524,1059,841,1316,303,154,20,125,193,109,200,192,51,5365.0
Saturday,2,5,1,3,1,2.0,1,52,140,123,78,811,459,1198,1880,1516,153,145,18,46,2,41,35,74,6786.0
Sunday,5,1,0,5,1,3.0,4,71,107,58,86,439,1836,1111,797,1463,174,122,13,68,155,175,60,91,6845.0
Sunday,1,3,5,3,1,4.0,2,38,24,188,2,421,756,1711,1010,1324,179,27,154,117,93,158,103,85,6409.0
Sunday,2,4,1,5,1,1.0,2,116,84,117,69,1326,482,1711,2073,891,185,185,119,156,94,173,60,74,7931.0
Sunday,0,4,0,1,5,5.0,5,134,177,129,143,866,606,1350,279,1035,127,77,84,138,48,168,59,149,5589.0
Sunday,3,2,5,0,2,2.0,5,0,101,39,2,921,1184,374,671,1490,163,14,123,104,121,95,173,100,5694.0
Sunday,5,4,2,0,0,3.0,4,196,53,83,88,598,312,1485,1205,905,122,128,29,171,16,18,62,49,5538.0
