Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,3,4,2,0,578,4,613,264,599,109,411,570,201,205,118,365,3026,334,334,330,297,237,2,2,8608
Wednesday,4,4,0,0,265,901,967,703,1015,134,464,514,864,87,32,234,6679,760,709,750,667,670,1,3,16427
Thursday,4,5,2,3,643,145,957,476,998,420,757,206,715,50,652,191,7481,825,752,765,740,189,5,1,16982
Friday,3,0,0,1,352,241,80,737,223,438,327,286,56,82,102,292,3659,435,383,449,356,759,4,3,9268
Monday,5,5,1,1,233,879,105,232,380,202,613,5,42,401,867,744,6243,700,666,662,617,472,3,5,14083
Tuesday,1,2,0,4,139,706,231,339,80,692,534,353,67,213,346,221,3666,433,450,411,358,282,2,1,9531
Wednesday,5,3,0,1,653,234,513,693,93,402,143,649,20,783,45,307,3864,394,397,412,379,781,0,2,10773
Thursday,5,2,3,3,893,627,412,681,448,807,848,128,943,358,152,677,5417,606,561,568,536,739,3,5,15422
Friday,2,1,4,2,380,740,769,650,242,582,298,326,750,487,761,119,5596,637,632,644,557,218,0,1,14398
Monday,3,0,4,0,546,530,755,697,900,635,1078,268,850,650,262,237,7493,838,755,828,744,900,3,0,18976
Tuesday,4,5,3,2,425,358,96,848,134,788,626,827,266,585,920,965,6022,597,661,652,596,639,2,2,16023
Wednesday,5,3,4,1,573,773,320,126,994,765,651,610,6,310,939,749,6964,710,779,715,689,316,3,1,17006
Thursday,0,5,4,5,457,268,841,941,433,945,891,331,235,14,773,497,5438,567,626,576,538,828,4,0,15217
Friday,1,4,0,5,138,755,236,750,410,611,656,254,58,382,533,483,3534,368,431,370,352,218,3,1,10553
Monday,1,5,4,1,447,876,275,538,897,24,1066,409,469,973,1083,664,7502,804,838,845,749,754,3,0,19227
Tuesday,5,1,2,0,235,283,596,12,727,154,298,146,100,660,151,342,2884,339,361,379,286,615,3,2,8581
Wednesday,1,2,1,3,93,681,728,881,687,771,321,382,295,718,59,195,5442,616,575,541,538,316,4,1,13851
Thursday,0,5,0,0,489,268,233,426,413,32,128,514,190,458,555,679,2786,365,313,272,268,95,5,1,8495
Friday,2,2,5,3,248,841,94,853,550,168,182,375,53,653,107,305,4917,517,495,561,482,186,1,2,11602
Monday,0,0,2,4,13,109,699,234,122,145,346,593,631,513,391,661,4073,492,431,431,401,315,4,0,10610
Tuesday,2,3,4,4,303,99,752,617,111,464,31,784,43,699,485,237,5549,640,603,603,551,279,0,4,12867
Wednesday,5,4,5,1,482,504,204,76,679,568,869,770,89,142,78,749,6776,701,721,698,674,248,2,0,15045
Thursday,1,2,3,0,320,447,557,182,906,328,462,76,592,717,128,929,5593,578,648,576,559,788,0,2,14394
Friday,5,1,3,1,572,626,173,143,227,968,907,785,513,493,521,342,5993,652,654,597,594,306,0,5,15081
Monday,3,3,2,3,531,536,139,342,886,825,957,398,373,148,784,557,6038,653,660,637,595,177,5,4,15256
Tuesday,5,0,5,4,513,632,181,745,168,769,685,141,570,512,294,731,4283,461,485,493,420,644,4,5,12750
Wednesday,0,5,2,1,410,233,650,305,610,674,261,180,754,247,112,388,4079,439,498,441,403,797,5,4,11498
Thursday,0,2,4,0,135,519,665,188,210,522,352,251,80,455,383,137,2650,289,287,282,261,560,3,3,8238
Friday,1,1,1,3,803,777,78,245,650,104,550,596,434,56,893,178,5234,521,532,518,515,782,1,4,13477
Monday,1,2,0,5,578,129,528,669,40,282,352,188,502,301,448,589,3723,389,374,422,367,479,5,3,10376
Saturday,4,1,4,3,4,233,75,333,322,41,220,381,378,17,291,170,314,219,126,309,157,310,134,3,4049
Saturday,0,1,1,3,1,279,3,172,302,293,100,329,142,345,301,295,86,46,374,251,32,169,113,2,3640
Saturday,0,1,1,4,4,194,288,246,392,361,331,187,33,374,294,189,303,5,395,265,118,96,130,0,4211
Saturday,5,4,0,5,1,4,98,188,249,56,222,304,51,136,351,73,189,272,396,53,160,195,73,4,3089
Saturday,1,0,0,4,1,110,65,309,336,0,354,60,301,9,307,68,293,356,338,76,76,339,18,4,3425
Saturday,1,4,0,5,1,352,60,111,338,154,80,50,249,388,138,314,374,67,375,145,227,40,389,4,3866
Sunday,1,3,2,5,2,392,17,32,175,280,376,287,254,90,213,13,355,292,297,245,153,173,66,4,3727
Sunday,3,1,0,0,3,47,197,354,395,377,99,94,371,210,140,358,101,44,43,395,89,138,150,2,3611
Sunday,4,2,5,3,2,176,327,62,59,273,1,221,6,307,263,225,330,155,292,158,213,191,103,5,3383
Sunday,2,2,3,1,3,60,117,120,275,371,299,15,250,391,36,121,108,316,145,195,44,231,201,3,3309
Sunday,0,4,1,3,3,156,68,103,81,217,40,41,296,313,390,349,390,70,190,338,29,325,299,0,3706
Sunday,3,0,0,5,1,391,247,104,87,232,75,192,11,251,221,238,216,192,384,307,50,106,36,4,3353
