Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,4,5,0,0,0,0,0,0,114,682,582,429,814,377,301,643,456,410,533,228,489,166,1,2,6236
Wednesday,3,2,1,1,0,0,0,0,0,0,744,281,347,43,175,139,452,234,608,401,323,561,4,4,4323
Thursday,1,5,4,5,0,0,0,48,638,613,836,555,288,505,284,188,222,688,315,1290,560,288,1,5,7339
Friday,4,5,5,3,0,0,0,0,0,0,176,170,354,413,443,441,280,213,0,0,0,457,0,0,2964
Monday,3,4,5,2,0,0,0,0,0,63,308,481,480,1150,787,134,11,0,0,0,0,0,5,0,3433
Tuesday,0,1,2,5,0,0,0,0,0,0,0,0,0,0,391,815,1450,337,190,332,420,253,1,2,4199
Wednesday,0,5,5,2,0,0,113,74,396,200,362,0,0,0,0,14,20,259,365,605,182,437,2,3,3044
Thursday,0,1,3,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,3,0,66
Friday,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
Monday,5,2,5,4,0,0,0,0,325,817,622,482,252,298,452,263,396,850,192,547,2043,130,0,5,7690
Tuesday,2,2,1,4,0,0,0,0,0,0,518,762,328,619,561,234,0,0,137,797,371,363,1,2,4702
Wednesday,2,4,1,5,0,0,0,0,0,0,392,758,539,128,0,583,947,74,0,0,0,0,5,4,3442
Thursday,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
Friday,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,21
Monday,5,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,25
Tuesday,3,2,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,19
Wednesday,0,3,4,4,0,0,0,0,0,0,205,788,705,284,454,534,332,777,151,335,208,1001,3,5,5793
Thursday,2,4,0,0,0,0,0,0,0,232,431,845,53,0,542,57,114,196,405,322,665,133,5,2,4008
Friday,5,5,1,3,0,0,0,0,0,0,612,517,551,0,166,314,191,217,276,107,154,203,0,1,3323
Monday,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Tuesday,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,12
Wednesday,3,0,5,1,0,0,0,0,0,0,486,683,361,95,769,80,37,622,41,265,312,194,5,2,3961
Thursday,3,1,2,3,0,0,0,0,0,0,63,720,276,208,9,402,402,0,0,0,0,0,3,1,2093
Friday,2,3,3,5,0,0,0,0,0,0,145,423,184,464,542,479,0,0,0,0,0,0,1,3,2254
Monday,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,2,56
Tuesday,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Wednesday,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14
Thursday,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14
Friday,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,15
Monday,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16
Saturday,5,5,3,4,2,164,252,344,343,233,22,348,342,120,176,255,201,87,119,55,86,189,352,3,3710
Saturday,1,3,2,0,5,193,222,240,71,294,23,16,349,140,59,281,21,99,12,256,174,182,175,0,2818
Saturday,0,1,5,5,1,111,218,74,140,369,257,172,391,302,217,223,41,45,316,115,143,59,372,5,3582
Saturday,5,5,0,1,2,195,316,332,203,59,341,366,281,380,303,117,354,288,252,238,362,247,197,5,4849
Saturday,2,5,2,5,2,101,347,170,157,194,246,247,398,347,83,376,187,320,248,338,342,1,249,3,4370
Saturday,1,5,0,0,2,142,192,61,374,394,243,202,94,369,328,24,136,166,123,328,241,89,120,4,3638
Sunday,5,5,5,2,1,159,61,229,101,132,253,205,250,187,24,196,235,155,259,127,177,370,4,4,3146
Sunday,5,2,0,0,3,63,130,99,227,376,107,369,150,229,188,171,94,44,71,235,136,348,2,1,3050
Sunday,3,5,3,2,0,275,157,195,22,54,340,256,29,295,100,305,51,192,184,21,331,352,198,4,3374
Sunday,1,3,5,4,1,272,395,315,293,147,399,170,219,376,57,163,1,201,266,223,39,298,278,5,4131
Sunday,0,4,2,4,3,231,179,173,34,221,141,356,78,206,235,230,196,334,389,58,116,223,190,4,3607
Sunday,2,5,4,0,4,82,123,8,315,90,276,138,41,228,392,178,399,302,206,231,33,291,312,4,3664
