Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,2,0,2,1,53,495.0,454,1693,4033,1312,64,125,190,31,135,10,13,73,28,119,138,157,2,4,9134.0
Wednesday,4,0,1,2,141,476.0,501,1601,3983,1558,150,193,120,26,195,117,117,126,45,157,67,195,2,0,9777.0
Thursday,3,0,4,1,131,616.0,1051,2229,5409,1640,175,8,95,12,164,183,57,150,19,42,144,107,3,2,12245.0
Friday,2,0,2,0,133,448.0,857,1790,4347,1492,140,34,138,61,52,106,200,110,120,0,198,188,5,2,10425.0
Monday,1,0,1,4,138,541.0,932,1830,4565,1724,146,131,53,81,92,152,117,110,150,160,161,67,4,2,11162.0
Tuesday,4,1,2,3,196,514.0,532,2056,4938,1940,138,78,190,133,55,77,121,191,110,188,71,58,0,5,11601.0
Wednesday,1,4,5,5,87,486.0,578,1810,4418,1425,149,131,90,0,129,73,24,146,2,74,161,93,5,4,9900.0
Thursday,1,1,0,2,161,297.0,649,1212,2832,1195,197,49,191,38,86,131,1,94,93,92,128,94,4,1,7549.0
Friday,4,1,0,1,124,643.0,682,2463,5965,1842,104,173,51,185,183,81,69,46,3,60,62,8,1,4,12755.0
Monday,0,0,3,4,136,283.0,595,1060,2551,1116,111,118,39,176,95,73,50,64,32,142,27,96,4,4,6779.0
Tuesday,0,1,3,0,156,388.0,454,1348,3276,1395,64,192,121,143,138,135,43,112,181,109,24,15,1,4,8303.0
Wednesday,5,3,3,0,24,812.0,964,2956,7148,2267,180,184,27,117,36,108,121,97,109,12,71,199,4,0,15447.0
Thursday,3,1,0,2,192,723.0,1402,2891,7014,2518,22,116,6,49,160,31,64,54,89,183,121,44,2,2,15689.0
Friday,4,4,2,2,130,798.0,1412,3047,7410,2511,100,22,151,143,166,14,106,192,147,153,42,63,0,2,16621.0
Monday,4,4,5,4,82,487.0,750,1905,4606,1637,51,147,113,184,50,147,12,126,181,41,194,83,2,1,10816.0
Tuesday,3,3,0,3,112,562.0,863,2055,4970,2057,60,38,111,161,35,180,163,162,116,179,158,165,3,4,12163.0
Wednesday,1,3,0,5,155,590.0,860,2176,5226,1820,138,69,11,167,143,168,55,15,197,175,90,126,0,1,12191.0
Thursday,4,2,0,3,21,536.0,692,1886,4583,1526,129,65,154,37,8,188,26,34,130,120,148,38,4,2,10336.0
Friday,0,5,2,0,24,388.0,701,1274,3118,1059,89,119,181,137,200,104,88,127,44,72,9,175,3,5,7924.0
Monday,1,1,2,0,66,413.0,662,1577,3730,1171,175,41,69,137,5,27,38,107,186,94,192,183,5,0,8882.0
Tuesday,0,1,5,5,101,770.0,1357,2832,6959,2515,134,146,175,9,163,156,194,17,122,57,80,28,2,0,15828.0
Wednesday,5,2,3,3,69,711.0,1336,2831,6873,2460,79,191,54,38,18,83,72,32,145,69,56,106,3,3,15242.0
Thursday,1,2,1,2,177,483.0,717,1832,4337,1818,113,25,64,64,100,195,154,76,158,188,174,110,0,2,10793.0
Friday,5,1,5,5,189,457.0,664,1481,3617,1229,85,76,109,126,50,198,68,147,125,36,3,64,4,5,8749.0
Monday,3,5,2,0,161,491.0,546,1596,3951,1215,97,1,152,7,29,0,157,158,160,191,96,171,2,0,9191.0
Tuesday,4,1,2,5,110,412.0,627,1270,3134,1267,6,73,145,57,23,156,129,165,153,48,103,166,2,3,8061.0
Wednesday,4,5,4,0,101,283.0,514,1174,2794,1205,73,136,194,86,73,105,73,69,18,67,22,168,1,2,7171.0
Thursday,2,4,2,4,113,488.0,691,1896,4720,1852,37,48,113,2,200,141,122,159,188,24,106,30,5,2,10949.0
Friday,1,5,1,1,17,452.0,767,1582,3894,1272,151,62,117,89,23,114,42,67,16,122,2,164,5,1,8967.0
Monday,3,5,3,5,154,783.0,968,2983,7456,2778,53,4,170,167,2,73,141,149,65,37,134,47,1,3,16184.0
Saturday,3,2,2,3,5,409.0,1169,1522,37,103,37,130,163,6,5,55,42,81,192,158,63,199,171,1,4558.0
Saturday,0,1,3,1,1,546.0,1627,2098,95,145,186,185,107,168,14,18,134,140,64,43,68,90,170,3,5907.0
Saturday,5,3,4,5,3,829.0,638,330,39,93,65,4,80,83,76,3,175,86,30,112,139,83,34,2,2921.0
Saturday,2,4,3,3,1,745.0,331,1663,100,134,156,75,166,23,145,40,164,130,127,18,107,42,87,4,4270.0
Saturday,2,1,0,3,3,1608.0,2639,2089,124,10,50,35,143,148,170,23,185,41,183,164,116,106,156,0,7999.0
Saturday,4,0,4,0,2,1040.0,420,1355,14,125,141,179,86,88,195,40,83,65,199,168,96,80,183,3,4570.0
Sunday,3,3,4,3,3,1977.0,1602,836,53,67,165,199,130,14,179,187,86,161,189,180,69,32,198,2,6342.0
Sunday,5,4,5,2,2,2300.0,1741,2847,88,143,123,41,118,169,121,180,178,112,141,195,30,109,31,4,8689.0
Sunday,3,3,1,2,5,1010.0,2330,529,51,131,188,182,164,36,0,200,127,75,167,57,104,64,189,5,5623.0
Sunday,1,2,3,3,0,1377.0,1159,867,162,131,29,33,17,133,98,24,76,64,168,99,173,159,94,2,4874.0
Sunday,0,1,5,0,5,1277.0,886,2073,73,4,36,108,188,52,182,2,103,1,99,68,147,89,40,0,5439.0
Sunday,1,2,2,0,2,432.0,752,1387,12,197,156,120,62,35,130,128,53,24,184,188,165,122,116,0,4270.0
