Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,4,4,2,4,80,13,113,82,188,119,159,552,1434,932,1904,4617,5,96,95,43,113,130,2,5,10696
Wednesday,2,2,4,0,185,27,174,145,66,111,91,799,2310,1576,3033,7497,105,92,142,119,196,114,0,3,16793
Thursday,5,5,4,0,163,31,67,160,183,38,78,633,1606,1083,2209,5369,36,200,159,198,112,86,3,0,12428
Friday,2,3,3,0,107,63,61,133,79,200,175,403,1191,797,1619,3879,67,39,106,48,54,176,4,2,9211
Monday,3,5,3,4,60,23,157,11,141,4,8,372,1103,724,1392,3473,106,53,137,80,81,61,2,5,8008
Tuesday,2,4,3,4,174,197,165,172,157,153,7,787,2218,1502,2950,7386,174,112,199,112,178,66,3,1,16726
Wednesday,4,0,5,4,110,95,57,170,115,180,175,770,2042,1376,2781,6761,192,172,56,61,190,84,4,2,15406
Thursday,4,1,1,4,124,15,7,86,6,100,113,649,1876,1253,2490,6117,105,190,194,32,126,142,4,2,13641
Friday,4,1,2,0,19,86,50,103,74,3,52,565,1598,1083,2142,5159,149,114,99,47,89,159,2,1,11601
Monday,2,2,0,3,16,41,172,47,40,28,129,577,1501,959,1936,4817,32,19,74,64,53,74,1,1,10588
Tuesday,5,3,1,2,184,195,78,151,182,168,24,430,1142,767,1540,3711,156,7,54,34,183,139,2,3,9161
Wednesday,5,1,2,5,126,101,62,134,62,6,139,541,1416,914,1898,4560,75,74,43,129,168,53,0,3,10517
Thursday,3,1,3,0,151,66,87,102,51,198,198,719,2130,1447,2826,7012,5,172,101,147,9,8,2,0,15438
Friday,1,5,1,2,187,178,133,175,50,158,25,624,1716,1121,2185,5507,85,66,153,32,25,124,4,3,12560
Monday,4,1,0,5,188,141,20,171,137,75,150,724,2092,1415,2727,6674,173,166,146,177,5,138,4,2,15335
Tuesday,0,4,0,3,45,16,30,6,135,97,31,788,2201,1466,2929,7277,62,5,126,118,126,10,4,4,15483
Wednesday,3,3,4,2,145,18,168,57,188,66,37,366,958,704,1242,3119,127,194,169,135,140,124,5,0,7974
Thursday,5,3,1,3,19,144,50,81,53,83,66,504,1451,940,1823,4548,4,129,133,47,139,171,2,3,10402
Friday,1,2,0,1,169,2,103,33,125,68,153,437,1246,869,1722,4102,91,111,194,0,173,130,5,5,9742
Monday,4,2,2,0,198,146,92,134,21,2,200,543,1627,1110,2130,5141,182,191,103,147,0,48,2,5,12030
Tuesday,2,5,2,2,151,165,142,20,72,171,103,732,2131,1387,2758,6814,125,149,180,115,141,180,1,2,15550
Wednesday,0,3,0,5,59,199,135,136,42,74,119,596,1771,1211,2362,5880,152,114,108,198,47,28,2,0,13241
Thursday,0,2,4,4,104,91,70,158,90,109,179,310,916,671,1259,3073,23,136,71,177,58,41,0,5,7551
Friday,2,5,2,1,12,12,191,145,43,16,104,562,1647,1161,2180,5317,147,106,139,163,22,3,1,0,11981
Monday,1,4,5,1,61,68,1,58,88,92,137,737,2122,1438,2850,7006,174,14,168,150,43,32,1,3,15254
Tuesday,5,3,4,1,84,22,23,96,186,198,195,503,1529,984,1956,4901,50,138,7,98,155,162,2,5,11307
Wednesday,1,0,4,3,99,184,108,30,44,174,158,536,1548,1026,1944,4870,18,2,167,116,47,23,2,0,11104
Thursday,5,0,4,5,100,71,157,196,99,40,178,553,1632,1120,2071,5201,20,92,161,65,101,81,4,3,11959
Friday,3,3,5,5,115,30,16,8,66,178,143,553,1497,1000,1962,4830,57,128,129,197,71,163,1,4,11164
Monday,5,2,2,3,66,92,5,164,151,141,35,621,1755,1179,2318,5680,66,103,101,8,80,152,0,1,12730
Saturday,4,4,4,2,0,4,45,38,6,73,165,118,121,149,5,76,564,1925,2381,1516,42,142,195,5,7584
Saturday,2,2,2,4,4,5,118,126,133,164,35,110,34,88,192,49,662,999,1287,1646,96,118,1,0,5877
Saturday,4,1,2,0,5,4,192,91,111,42,170,61,136,74,45,59,1945,2377,557,1485,57,9,81,2,7510
Saturday,0,4,2,1,4,2,149,166,184,15,168,141,154,13,143,145,1029,412,1368,1667,86,82,48,0,5983
Saturday,3,0,5,0,1,5,78,170,126,95,74,19,107,170,118,126,603,1231,1744,2913,195,18,116,0,7917
Saturday,4,4,2,0,4,3,153,76,62,13,137,24,105,92,170,130,1600,2531,602,2113,149,53,151,0,8178
Sunday,3,4,5,0,5,1,125,13,91,135,123,56,65,138,79,58,1327,663,1019,377,29,94,176,4,4590
Sunday,4,1,4,3,4,2,136,35,123,99,2,175,113,0,125,192,1178,2889,650,2318,55,120,143,3,8374
Sunday,1,2,5,3,3,0,98,92,52,115,192,52,9,139,160,101,577,1133,2289,1707,64,190,136,3,7123
Sunday,1,5,1,3,4,3,164,180,104,36,50,178,185,26,133,181,1775,3018,2373,1261,200,37,119,3,10040
Sunday,4,5,3,5,2,5,66,13,125,147,90,99,10,8,11,166,555,1110,2762,2233,3,125,17,4,7568
Sunday,0,0,3,5,5,5,179,194,131,165,129,87,165,115,119,102,1468,2379,1898,1028,6,84,14,5,8286
