Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,2,0,5,1,817,517,190,129,95,370,439,207,516,50,738,600,512,4249,1311,845,454,527,2,4,12580
Wednesday,4,3,0,4,1003,810,939,944,320,502,757,588,474,1000,306,953,771,7281,2221,1457,799,479,2,0,21617
Thursday,4,3,3,4,340,740,408,368,88,599,362,271,613,532,108,885,547,5340,1584,1107,598,335,1,4,14844
Friday,0,1,3,1,418,705,333,596,267,463,648,671,771,528,725,352,465,4345,1377,876,502,262,4,5,14318
Monday,3,4,2,5,124,321,626,604,381,873,266,495,553,408,752,870,616,6079,1890,1296,679,403,0,4,17254
Tuesday,2,0,5,1,66,976,164,918,58,459,1036,754,556,47,26,797,784,7132,2142,1502,785,56,4,4,18274
Wednesday,5,0,2,4,441,226,120,476,483,785,558,781,769,504,579,670,784,7285,2252,1466,772,903,1,5,19871
Thursday,0,5,3,3,60,268,1017,281,893,495,1087,163,947,32,410,89,776,7216,2217,1485,750,894,3,0,19094
Friday,2,4,1,2,167,126,757,179,45,626,106,9,281,484,713,54,550,4897,1509,1026,541,401,5,1,12486
Monday,2,1,3,0,213,780,935,593,304,187,180,341,75,729,296,657,720,6522,2037,1392,675,1039,0,4,17685
Tuesday,0,5,1,1,91,966,825,175,1110,150,845,988,474,311,163,145,753,7513,2294,1592,807,399,4,5,19617
Wednesday,5,1,4,0,756,472,268,185,179,614,715,457,828,824,764,851,468,4596,1363,928,477,745,3,2,15505
Thursday,3,5,4,0,825,375,417,26,405,356,603,596,827,846,238,130,593,5220,1637,1120,530,64,0,2,14822
Friday,4,0,3,3,1020,701,881,831,386,458,252,11,463,869,103,580,807,7158,2191,1437,773,688,0,4,19623
Monday,1,0,1,5,550,405,166,34,630,427,554,406,419,322,120,113,258,2632,820,559,272,33,1,2,8730
Tuesday,2,0,2,3,433,170,73,167,13,896,185,1023,575,654,498,871,716,6551,2014,1375,671,705,4,3,17604
Wednesday,5,4,3,1,506,493,84,296,190,537,484,629,64,295,213,206,402,3103,974,708,360,229,3,5,9794
Thursday,1,1,4,1,580,43,620,674,151,135,56,40,328,94,354,160,374,3139,1004,699,411,8,4,3,8884
Friday,0,0,4,3,382,249,231,605,794,39,912,650,167,178,688,444,792,7257,2211,1493,765,1044,4,0,18912
Monday,4,2,3,3,238,591,78,897,1008,386,325,774,123,145,652,504,726,6364,1939,1360,699,734,3,1,17559
Tuesday,4,0,5,4,569,783,34,934,433,25,341,176,318,811,878,181,634,5781,1793,1182,576,89,0,0,15551
Wednesday,4,1,5,1,682,142,286,87,1019,259,672,811,467,792,96,842,713,6631,2011,1357,694,165,3,3,17743
Thursday,3,5,1,5,732,651,653,383,126,124,72,543,292,215,642,205,370,2893,943,619,328,418,2,0,10225
Friday,5,3,2,2,504,919,132,508,470,222,559,353,198,214,95,750,681,6721,2051,1415,680,1026,2,1,17513
Monday,5,1,3,3,770,866,62,77,607,26,5,257,483,821,741,616,524,4509,1396,971,499,630,0,5,13877
Tuesday,2,5,4,5,317,374,550,679,622,87,711,675,94,447,307,121,502,4136,1307,902,417,764,3,0,13031
Wednesday,2,0,1,5,141,600,497,413,806,583,109,91,769,368,338,584,488,4123,1301,857,416,577,2,2,13073
Thursday,5,4,0,4,460,550,367,406,1019,763,308,468,56,202,879,906,691,6395,1894,1300,712,882,4,3,18278
Friday,4,1,5,3,990,415,432,530,114,814,331,1067,816,624,626,915,705,6973,2096,1428,770,206,0,1,19866
Monday,4,1,4,4,404,39,866,33,859,765,470,442,81,413,211,607,574,4965,1486,1065,567,889,4,0,14753
Saturday,4,5,0,0,5,144,184,359,277,332,186,336,8,96,243,173,221,357,301,65,327,186,23,2,3834
Saturday,4,0,5,2,0,115,315,168,268,292,320,239,45,259,143,239,94,273,366,143,38,241,316,3,3888
Saturday,1,0,3,0,4,55,394,221,332,56,1,362,50,181,399,232,307,211,231,23,94,140,128,3,3428
Saturday,4,3,4,4,2,400,332,271,23,104,66,234,13,264,17,84,373,282,279,318,62,77,146,1,3363
Saturday,4,0,0,1,0,368,300,386,22,87,146,26,215,231,141,358,68,211,391,32,268,134,35,1,3425
Saturday,2,5,3,2,5,145,46,377,173,82,281,294,194,151,118,52,314,26,274,64,393,81,59,5,3146
Sunday,5,1,5,5,1,359,137,352,104,34,270,185,132,38,153,92,368,234,241,123,229,5,164,3,3240
Sunday,3,4,5,2,2,119,228,269,287,82,54,343,134,205,307,131,61,272,204,366,142,311,382,5,3918
Sunday,5,5,1,4,0,243,287,118,45,29,394,46,282,361,59,152,210,112,29,193,194,316,60,1,3146
Sunday,1,2,1,3,1,223,68,139,139,306,163,206,138,170,294,371,303,20,166,157,63,146,9,4,3093
Sunday,5,0,5,0,5,329,46,225,111,119,190,264,266,377,367,315,287,64,398,118,82,223,301,3,4100
Sunday,5,5,2,2,3,298,339,256,141,247,320,162,347,232,73,230,355,346,239,194,49,205,62,4,4116
