Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,5,2,1,2,193,194,73,61,162,65,138,433,1243,445,857,843,13,132,141,40,108,33,5,1,5190
Wednesday,5,4,1,5,173,82,86,33,43,24,32,561,1053,356,652,670,8,88,70,60,173,105,0,4,4288
Thursday,0,0,2,3,197,20,41,188,159,19,96,240,1698,579,1173,1176,152,77,156,108,164,70,1,4,6323
Friday,3,1,5,0,200,182,113,60,94,101,61,104,1101,413,772,749,47,196,34,91,139,112,1,5,4584
Monday,2,0,4,1,25,33,184,23,18,77,100,1241,2261,821,1509,1563,70,32,45,189,193,83,4,0,8478
Tuesday,4,0,5,4,21,121,73,169,86,162,181,163,1670,594,1110,1162,6,97,113,157,60,131,2,4,6095
Wednesday,5,0,3,2,4,159,7,132,99,177,60,549,1776,637,1185,1202,38,119,196,115,165,11,1,5,6647
Thursday,4,0,2,2,82,97,42,57,31,13,103,702,1273,502,888,890,110,121,9,55,167,69,4,4,5227
Friday,2,4,4,2,170,93,59,170,115,78,168,433,1542,584,1070,1047,155,147,160,145,45,17,2,1,6213
Monday,0,4,5,4,108,178,162,60,74,67,103,296,1037,393,662,707,175,155,77,178,192,132,2,5,4776
Tuesday,1,4,1,2,173,39,52,151,38,56,89,695,1201,469,781,861,184,29,14,152,141,46,3,4,5186
Wednesday,0,0,3,1,24,1,123,192,5,62,29,156,1157,438,789,733,178,163,74,31,133,160,3,0,4455
Thursday,4,1,0,0,156,190,14,31,65,49,186,426,913,349,613,630,184,48,58,14,172,52,5,4,4164
Friday,5,4,1,3,95,115,9,144,42,26,190,145,1393,535,928,951,6,101,71,160,16,159,4,3,5106
Monday,2,3,1,0,57,12,68,3,166,4,146,90,797,278,553,557,141,103,159,85,74,106,0,1,3406
Tuesday,5,3,5,3,180,44,9,84,36,194,125,694,1393,470,978,1005,62,48,93,10,115,32,4,2,5594
Wednesday,0,1,4,3,11,173,25,26,82,4,92,338,2317,840,1488,1513,117,148,141,158,86,198,3,5,7773
Thursday,3,1,1,5,104,61,115,155,88,113,40,177,1174,437,789,810,153,117,80,110,49,55,1,0,4638
Friday,5,0,0,5,65,113,117,12,42,2,119,1413,2102,737,1419,1398,58,6,115,129,9,150,1,0,8017
Monday,2,1,5,3,9,102,160,65,33,94,37,1439,2059,704,1413,1446,184,107,61,106,109,13,5,0,8157
Tuesday,5,5,3,5,0,95,150,151,147,136,117,184,867,291,566,562,104,69,106,159,24,30,0,4,3780
Wednesday,1,2,1,0,86,125,180,151,97,149,71,116,1984,677,1326,1312,77,39,52,116,11,121,1,2,6697
Thursday,1,3,0,5,92,198,96,120,200,146,183,1312,1962,663,1312,1304,178,57,114,181,97,67,3,4,8298
Friday,3,4,1,1,35,74,132,118,179,22,60,788,1737,572,1194,1156,155,124,126,142,112,141,1,1,6878
Monday,0,1,5,3,179,73,42,100,70,49,111,696,1199,454,765,759,13,73,154,80,158,32,3,1,5020
Tuesday,0,5,4,3,110,89,159,141,189,24,45,510,1150,412,774,808,179,160,1,42,10,118,0,1,4934
Wednesday,5,2,4,3,196,178,31,69,44,94,113,1073,1521,557,1061,1036,106,59,29,4,187,195,5,3,6575
Thursday,5,0,2,4,91,45,69,183,124,58,157,124,1210,469,813,853,162,99,156,45,184,54,5,4,4916
Friday,0,5,0,0,61,112,36,144,197,125,33,739,1195,401,824,865,46,9,163,119,17,149,0,3,5243
Monday,0,4,4,2,92,71,67,112,160,105,94,266,2013,751,1388,1326,158,39,33,171,64,138,3,3,7064
Saturday,3,0,4,4,3,0,3,155,24,88,182,447,1289,2109,893,1615,165,169,7,60,138,168,9,138,7673
Saturday,5,2,3,3,5,2,3,72,186,168,191,1752,1067,1455,344,723,116,129,44,145,122,198,52,167,6954
Saturday,1,0,4,5,2,5,1,128,1,78,63,1136,2742,2264,1719,598,117,92,34,37,40,142,60,32,9301
Saturday,2,4,3,2,3,3,0,169,192,138,146,1568,1018,691,1261,377,17,80,89,116,124,16,124,39,6182
Saturday,4,0,3,1,2,2,0,66,21,154,62,2187,1134,2624,1604,555,102,71,142,85,41,15,196,6,9077
Saturday,2,2,5,3,5,2,3,75,114,124,129,617,1000,1317,1638,321,182,175,101,121,132,197,91,107,6463
Sunday,5,5,1,0,0,0,3,164,198,94,153,1519,1925,554,1025,2404,24,117,179,74,185,43,105,127,8904
Sunday,5,2,1,0,3,5,0,119,77,143,187,398,1376,1054,1726,710,13,21,154,120,104,190,96,179,6683
Sunday,4,5,2,3,5,2,4,20,88,30,10,2031,832,1667,469,1247,37,120,29,155,127,133,193,183,7396
Sunday,1,0,0,3,3,4,5,127,177,109,129,1480,1891,2351,490,937,50,87,110,119,115,105,94,50,8437
Sunday,0,3,5,5,4,5,1,85,159,141,97,1788,1208,2397,2912,618,76,185,184,19,187,28,141,168,10416
Sunday,3,4,2,5,0,4,1,35,139,164,196,1917,1459,2379,519,944,25,115,152,15,169,52,185,196,8680
