Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,1,1,4,0,446,52,831,634,632,618,970,152,351,456,688,266,280,523,87,627,752,735,3,4,9113
Wednesday,0,3,5,1,0,529,254,12,474,541,38,118,535,376,526,583,64,665,135,454,633,572,3,4,6525
Thursday,2,1,0,1,257,437,614,619,464,342,617,815,653,399,604,32,288,644,529,147,818,365,2,4,8654
Friday,3,4,1,5,105,504,691,334,609,202,535,570,550,409,705,281,546,104,523,426,106,298,4,3,7518
Monday,3,4,1,2,810,172,731,294,65,147,204,103,1013,984,89,902,801,891,80,855,183,491,0,5,8830
Tuesday,2,1,5,0,814,88,716,1031,493,745,34,570,881,595,535,806,939,606,196,597,936,680,4,2,11276
Wednesday,3,2,1,0,916,324,568,223,968,855,879,144,736,472,834,276,346,628,707,942,661,73,2,5,10565
Thursday,3,1,2,3,562,651,755,321,624,105,390,447,60,514,427,306,393,356,697,352,460,159,0,0,7588
Friday,1,3,0,0,272,85,415,618,743,478,676,168,610,446,62,832,195,373,477,794,274,97,3,3,7625
Monday,5,4,5,2,536,639,249,268,472,47,637,648,154,195,699,458,538,541,560,87,706,75,4,5,7534
Tuesday,3,1,5,5,531,237,760,640,108,698,565,221,106,126,211,553,244,251,38,195,465,695,4,0,6662
Wednesday,3,2,3,5,165,817,114,763,190,180,0,210,19,152,136,501,106,768,205,256,15,390,3,1,5004
Thursday,1,3,5,3,708,399,149,280,373,469,415,654,273,236,577,661,257,274,259,725,458,324,1,4,7508
Friday,0,4,2,3,371,455,654,688,445,684,88,682,512,276,221,182,719,275,131,548,377,764,3,3,8087
Monday,3,0,3,1,330,933,554,680,681,488,100,194,1002,421,749,769,448,833,406,116,315,309,4,4,9343
Tuesday,1,4,3,4,182,78,174,503,127,307,186,152,411,271,659,131,617,366,479,572,688,386,2,3,6306
Wednesday,5,3,1,3,135,177,688,386,93,600,821,161,119,828,393,356,344,653,336,567,347,140,0,1,7157
Thursday,3,0,0,3,20,213,573,721,574,182,490,727,275,134,173,494,38,653,84,717,631,504,0,0,7209
Friday,3,1,2,4,236,532,472,233,255,370,978,170,423,206,762,87,218,554,36,731,235,430,5,0,6943
Monday,3,2,0,3,890,299,206,395,239,271,898,413,696,144,299,638,900,336,434,216,752,328,1,0,8363
Tuesday,4,4,1,1,183,326,191,917,952,404,553,973,819,244,66,60,444,822,21,652,197,869,3,1,8707
Wednesday,4,2,2,3,760,772,684,197,165,278,760,666,641,611,134,477,99,681,577,618,234,559,2,0,8926
Thursday,1,3,4,5,663,436,89,264,352,213,141,188,677,714,721,115,220,104,341,647,768,129,1,0,6796
Friday,4,3,3,1,94,600,263,1,393,407,121,725,309,546,589,513,481,263,375,627,519,571,1,2,7411
Monday,5,2,0,1,877,610,270,466,499,276,236,326,313,580,323,61,454,1050,1102,941,46,204,0,0,8642
Tuesday,5,5,1,0,264,542,162,587,182,559,491,512,544,666,247,432,208,113,533,504,721,136,0,0,7414
Wednesday,0,2,2,3,733,333,14,740,379,440,465,437,443,428,233,463,861,25,968,232,267,388,1,3,7860
Thursday,1,2,3,1,578,341,508,108,251,257,763,558,627,849,574,573,958,363,682,306,789,993,0,4,10089
Friday,5,3,1,0,116,8,205,477,594,267,781,705,250,785,253,561,121,449,330,612,275,745,3,3,7549
Monday,1,3,2,5,98,259,140,368,478,539,213,268,316,1,644,743,241,660,508,501,321,42,4,0,6355
Saturday,3,5,4,1,2,3,5,123,142,83,96,468,1022,2352,1423,1910,60,49,145,181,169,167,24,2,8439
Saturday,3,5,1,5,3,0,1,15,37,187,106,419,1481,1917,1145,791,134,53,167,0,118,153,72,130,6943
Saturday,3,4,5,4,3,3,3,77,105,177,69,1052,1518,1976,2420,520,57,96,56,125,27,79,174,158,8711
Saturday,1,5,5,1,0,2,1,102,35,3,18,881,572,1363,1144,336,158,119,35,63,168,90,89,41,5232
Saturday,5,2,3,4,3,1,0,14,83,56,129,385,807,1521,1947,1194,44,5,200,5,37,71,74,105,6695
Saturday,3,1,5,3,1,1,1,74,30,194,138,912,2169,1283,1806,464,8,191,115,31,177,134,87,151,7979
Sunday,0,1,0,2,1,1,1,129,94,31,168,986,411,1675,1344,662,143,32,138,107,165,50,104,134,6379
Sunday,4,4,4,1,4,3,3,190,182,107,12,1236,1509,648,943,358,146,58,139,126,176,49,179,180,6261
Sunday,5,3,1,2,3,1,2,26,15,158,145,1655,944,1300,409,724,15,2,163,80,165,15,127,11,5971
Sunday,5,2,0,1,3,3,2,148,58,45,107,2157,1308,845,434,1729,168,149,60,12,0,173,91,200,7700
Sunday,4,3,1,0,4,0,1,178,196,57,7,1257,2997,2414,640,1815,161,41,71,123,138,1,120,163,10392
Sunday,4,4,5,1,2,3,4,87,92,0,186,916,2152,1307,1735,433,75,103,45,22,43,80,87,43,7429
