Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,1,0,4,2,895,240,524,850,14,786,101,838,650,528,608,503,577,5301,1631,572,2192,845,4,3,17669
Wednesday,2,1,4,4,504,384,325,145,560,196,614,137,42,340,508,339,299,2993,945,323,1224,264,3,3,10159
Thursday,5,5,4,2,543,124,104,458,388,363,472,112,411,347,321,223,517,4374,1347,512,1767,115,1,1,12516
Friday,2,4,2,2,521,620,405,483,473,654,769,613,309,657,373,390,406,3306,998,395,1356,289,0,3,13030
Monday,5,2,4,4,431,868,177,904,454,921,670,289,10,805,703,131,753,7336,2250,812,2975,590,0,1,21095
Tuesday,0,2,3,1,894,808,542,158,410,865,212,759,455,260,187,831,552,5336,1643,591,2167,348,0,1,17025
Wednesday,3,4,1,5,906,465,860,93,602,556,810,763,15,1059,137,393,721,7223,2220,792,2928,537,2,0,21095
Thursday,3,3,0,5,475,324,557,222,150,397,735,414,314,217,286,569,388,3297,1010,392,1292,286,4,5,11345
Friday,4,0,4,4,617,726,760,434,764,625,292,71,247,268,402,579,415,3795,1210,464,1592,806,5,4,14088
Monday,4,4,1,2,171,721,332,629,359,184,743,126,227,612,638,79,464,3804,1216,473,1561,278,4,3,12635
Tuesday,1,3,5,1,440,55,505,76,353,220,82,528,329,52,516,720,303,2703,814,290,1111,517,1,0,9625
Wednesday,5,0,0,2,766,762,599,239,437,443,365,871,73,171,759,588,541,4595,1450,543,1917,418,3,5,15552
Thursday,0,0,4,2,96,323,221,254,240,521,45,30,554,453,307,896,538,4952,1525,527,2015,127,3,3,13636
Friday,1,2,0,0,891,260,567,107,915,751,131,222,376,248,650,285,565,5697,1703,626,2247,257,2,1,16504
Monday,0,1,3,2,2,655,473,704,700,506,347,164,188,589,254,120,320,2659,787,348,1093,421,4,2,10342
Tuesday,2,0,2,3,52,808,560,616,807,647,459,483,806,15,868,79,598,5415,1664,619,2182,109,0,5,16799
Wednesday,2,3,1,3,216,100,8,371,315,129,674,105,260,102,648,25,584,5143,1574,533,2137,869,0,3,13805
Thursday,5,2,1,4,246,680,1069,212,608,85,608,1026,372,26,669,724,736,6949,2075,743,2859,511,0,4,20214
Friday,3,0,1,1,159,260,650,80,60,540,308,593,514,680,541,684,310,2619,863,300,1065,432,3,1,10667
Monday,4,0,0,2,821,654,198,917,581,249,235,679,110,883,767,152,537,5228,1591,593,2172,617,4,5,16999
Tuesday,0,4,5,3,667,123,665,421,339,610,419,368,678,485,755,303,372,3279,1050,337,1363,83,5,5,12339
Wednesday,1,3,3,4,204,258,283,841,1014,639,460,249,126,367,975,114,764,6738,2104,693,2781,346,0,5,18972
Thursday,1,2,5,3,700,103,390,846,564,693,296,269,179,421,82,202,630,6282,1939,642,2540,412,3,0,17204
Friday,4,5,2,1,736,524,401,862,375,452,660,639,79,885,471,41,583,5767,1728,664,2360,469,2,2,17712
Monday,2,0,3,2,350,861,657,954,953,172,511,620,838,644,629,289,681,6086,1888,657,2501,291,5,0,19594
Tuesday,0,5,3,5,140,244,726,256,54,55,866,4,106,113,48,325,508,4589,1421,509,1928,38,3,4,11950
Wednesday,4,5,5,3,16,128,554,378,450,849,443,271,705,725,305,275,500,4756,1475,472,1905,314,0,3,14541
Thursday,3,5,4,1,391,488,429,98,728,688,144,166,440,429,583,144,316,2902,921,306,1158,404,5,2,10755
Friday,1,4,2,4,244,629,700,708,453,812,857,766,172,368,195,711,447,4454,1373,450,1801,601,1,1,15754
Monday,0,3,4,3,755,117,648,182,263,732,723,697,895,828,927,9,565,5618,1759,582,2248,374,5,3,17940
Saturday,2,0,1,0,2,295,243,87,112,40,71,221,348,327,349,224,56,124,44,397,90,357,278,4,3672
Saturday,4,3,4,0,2,33,340,157,396,174,60,301,299,241,190,329,387,317,150,112,197,263,117,2,4078
Saturday,4,1,1,2,2,169,138,2,134,111,120,181,323,51,286,50,138,201,387,101,266,388,180,0,3236
Saturday,2,4,2,4,1,278,399,232,232,374,390,223,317,314,173,76,18,104,122,139,176,224,113,2,3919
Saturday,4,5,4,0,3,114,207,200,172,72,147,15,88,42,88,161,218,287,102,359,206,19,112,4,2629
Saturday,5,5,1,0,5,135,284,70,141,355,174,258,259,190,218,205,187,67,136,170,355,183,385,5,3793
Sunday,0,0,5,2,0,218,327,71,299,369,207,188,185,100,354,52,122,249,295,47,141,285,15,2,3533
Sunday,1,5,3,4,3,364,46,323,272,300,257,59,68,251,282,208,206,325,340,97,185,249,366,2,4216
Sunday,2,5,4,5,1,135,35,67,111,37,151,257,333,317,186,351,329,116,117,231,394,201,329,3,3717
Sunday,0,2,1,0,1,398,26,42,333,119,223,55,125,38,76,320,309,266,213,124,296,300,129,0,3396
Sunday,1,0,2,5,0,17,222,0,266,58,79,308,310,373,117,121,20,204,203,360,342,261,168,1,3438
Sunday,0,4,4,4,5,121,313,389,216,317,231,171,190,94,368,92,63,162,50,329,151,158,332,0,3764
