Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Steps
Tuesday,3,3,1,3,179,190,83,105,90,9,172,6128,2451,1295,1873,682,193,77,80,167,149,194,4,1,14132
Wednesday,0,3,1,1,44,0,124,159,8,50,72,5171,2067,1021,1575,563,153,48,169,14,16,135,0,3,11397
Thursday,0,1,5,3,57,122,139,53,161,50,147,7273,2919,1503,2163,745,198,156,117,54,16,151,3,0,16036
Friday,3,4,0,5,107,186,59,115,75,112,85,6529,2635,1326,2032,680,103,183,105,88,171,104,1,1,14709
Monday,5,4,2,5,9,122,26,182,192,150,90,4854,1972,990,1466,513,162,7,30,190,128,92,3,1,11195
Tuesday,2,5,5,1,51,78,76,71,140,121,3,6790,2686,1394,2056,748,5,183,26,159,158,95,3,0,14856
Wednesday,2,3,3,4,35,187,148,46,69,83,60,6661,2697,1406,2022,727,38,152,69,195,100,194,5,4,14910
Thursday,5,2,1,4,50,171,75,96,14,161,1,7404,2977,1496,2265,760,117,186,9,118,116,101,3,0,16132
Friday,1,3,2,0,114,174,54,50,91,10,57,5038,1991,1030,1587,566,169,101,49,61,68,84,4,5,11309
Monday,5,2,3,1,177,178,111,100,127,169,90,6638,2685,1369,1985,729,6,117,76,77,108,71,3,3,14830
Tuesday,3,0,3,2,76,191,137,91,129,126,198,3929,1573,780,1197,483,18,15,167,94,43,177,4,4,9440
Wednesday,5,3,2,4,110,144,171,99,30,4,62,6244,2507,1255,1909,719,43,43,99,142,125,66,3,3,13792
Thursday,4,1,4,2,128,181,17,51,56,182,128,3590,1457,765,1092,428,56,101,188,150,19,146,5,3,8754
Friday,2,0,5,1,1,13,82,70,98,146,134,3118,1319,696,955,406,129,95,98,15,124,79,0,3,7589
Monday,5,1,2,5,164,121,64,180,200,122,154,2783,1094,546,894,364,69,105,45,195,66,177,2,1,7359
Tuesday,3,3,0,2,185,71,145,91,143,163,17,2743,1126,599,857,343,14,15,133,96,70,71,0,4,6894
Wednesday,0,5,1,4,1,194,12,122,150,139,198,2644,1077,561,787,272,171,21,198,174,173,1,0,4,6909
Thursday,0,0,4,3,41,175,19,191,162,64,70,5176,2061,1040,1595,510,15,32,163,184,22,125,5,2,11659
Friday,0,0,0,3,37,24,152,1,172,32,9,5322,2164,1072,1659,556,130,121,109,35,199,70,2,2,11871
Monday,3,5,4,0,69,181,120,43,125,102,13,5907,2437,1254,1790,660,158,130,43,33,65,85,1,0,13228
Tuesday,3,3,1,3,27,9,54,29,180,102,185,2829,1185,621,919,372,51,120,98,119,188,8,3,1,7110
Wednesday,3,0,2,5,74,170,129,193,49,78,84,6522,2623,1349,1950,667,12,92,152,65,156,158,1,5,14539
Thursday,4,2,5,0,130,173,180,125,111,153,147,4472,1836,921,1391,527,180,29,182,133,144,178,1,1,11025
Friday,0,2,3,4,106,36,40,134,27,88,10,4834,1929,1003,1452,488,84,85,71,166,131,146,3,5,10847
Monday,3,2,4,0,188,175,31,76,119,173,14,3039,1297,686,983,399,91,70,73,110,185,116,3,0,7837
Tuesday,5,0,5,5,5,128,87,83,16,113,73,7267,2949,1500,2265,796,57,101,39,22,31,34,2,2,15585
Wednesday,4,5,2,4,37,128,87,73,123,132,163,3466,1424,785,1127,394,182,144,173,190,174,22,5,5,8849
Thursday,0,1,3,2,164,178,177,168,97,55,117,4959,2051,1008,1532,555,16,161,52,161,95,68,3,0,11623
Friday,5,5,5,5,129,138,193,184,94,186,164,2593,1090,591,783,302,105,111,139,72,127,120,2,2,7145
Monday,2,0,2,3,128,65,86,85,142,146,50,3742,1589,773,1213,383,11,37,50,132,193,107,1,0,8940
Saturday,4,2,3,2,4,2,19,37,164,86,69,111,197,37,19,123,546,849,1110,336,30,45,6,0,3801
Saturday,0,1,2,5,2,1,86,196,186,180,152,119,3,191,76,68,1487,2055,1022,549,42,99,30,0,6552
Saturday,1,4,4,2,4,1,108,70,101,37,145,113,189,5,1,51,847,1307,287,1031,80,155,197,1,4741
Saturday,4,2,4,5,2,2,45,176,12,68,148,17,163,186,188,54,480,2290,1849,929,185,6,128,0,6943
Saturday,5,2,4,3,3,1,97,48,171,6,80,84,191,101,151,68,605,1124,2893,2326,42,197,196,1,8399
Saturday,0,3,0,5,1,2,196,74,58,164,38,10,158,71,140,145,352,594,931,1137,160,146,95,5,4485
Sunday,4,5,5,1,3,5,63,8,145,155,38,141,45,116,16,77,1748,1256,662,2992,161,188,125,1,7960
Sunday,0,0,0,3,1,0,53,10,66,98,34,1,183,120,191,19,539,994,2483,1999,161,46,151,1,7153
Sunday,5,4,2,0,0,0,126,144,78,12,168,83,115,184,78,30,502,2164,1300,1796,37,133,91,1,7053
Sunday,5,2,5,2,5,5,26,112,85,193,51,71,145,171,68,130,1872,994,2285,1370,167,195,162,5,8126
Sunday,1,0,0,5,4,1,117,53,145,108,76,72,9,137,89,38,779,386,1141,1896,161,115,19,5,5357
Sunday,3,2,1,1,0,1,46,43,7,79,3,93,87,18,96,59,758,1735,1056,398,59,167,84,0,4796
