Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,2,7,3,2,1,5,3,29,15,140,138,29,3,7,4,2,1,3,0,0,402
Wednesday,0,0,0,0,5,5,0,4,3,6,3,44,21,207,207,44,7,6,3,6,5,3,0,0,589
Thursday,0,0,0,0,1,3,6,6,4,7,3,62,33,301,298,63,0,1,5,6,2,2,0,0,809
Friday,0,0,0,0,0,1,5,1,2,0,4,30,13,136,136,28,2,4,2,3,0,7,0,0,382
Monday,0,0,0,0,1,6,4,7,1,2,6,28,12,125,127,28,4,3,5,3,3,0,0,0,374
Tuesday,0,0,0,0,1,1,5,7,5,0,7,29,15,144,146,31,1,2,1,5,1,6,0,0,416
Wednesday,0,0,0,0,4,1,5,4,1,6,4,55,27,273,270,57,6,3,7,6,3,3,0,0,744
Thursday,0,0,0,0,6,5,1,3,5,6,5,27,13,135,136,30,1,0,6,5,5,6,0,0,403
Friday,0,0,0,0,2,7,5,4,4,1,5,50,26,244,247,51,4,0,6,4,7,0,0,0,677
Monday,0,0,0,0,0,5,6,5,1,4,7,41,23,200,202,40,1,5,6,6,6,0,0,0,568
Tuesday,0,0,0,0,6,7,1,1,3,2,1,22,12,113,115,25,0,7,5,1,1,8,0,0,336
Wednesday,0,0,0,0,7,4,6,7,1,6,1,27,15,122,121,24,6,0,0,6,3,1,0,0,364
Thursday,0,0,0,0,6,5,3,3,3,6,0,24,14,115,116,25,5,7,4,3,3,1,0,0,349
Friday,0,0,0,0,5,3,1,5,6,1,1,55,28,265,265,53,1,5,0,2,5,1,0,0,710
Monday,0,0,0,0,2,6,6,7,7,6,3,24,13,113,112,22,3,1,2,6,1,1,0,0,346
Tuesday,0,0,0,0,5,0,0,6,4,4,3,57,30,283,286,59,0,1,4,6,1,4,0,0,762
Wednesday,0,0,0,0,2,1,3,3,4,4,1,50,25,246,248,52,4,7,5,1,3,6,0,0,674
Thursday,0,0,0,0,5,6,1,5,7,2,7,49,26,248,248,51,3,6,0,0,5,7,0,0,684
Friday,0,0,0,0,5,4,2,4,3,3,4,58,30,283,284,56,7,1,6,7,1,7,0,0,773
Monday,0,0,0,0,4,3,7,0,1,7,3,40,21,188,187,37,3,0,1,3,1,3,0,0,519
Tuesday,0,0,0,0,3,0,0,5,2,2,0,29,16,134,135,28,4,2,5,1,3,5,0,0,383
Wednesday,0,0,0,0,7,1,3,4,1,7,2,45,21,212,212,42,7,4,2,2,6,6,0,0,590
Thursday,0,0,0,0,5,1,1,2,2,1,6,61,30,299,302,61,0,1,7,3,5,2,0,0,797
Friday,0,0,0,0,3,1,5,0,1,5,3,34,18,166,163,33,7,5,3,0,6,3,0,0,464
Monday,0,0,0,0,2,5,1,6,4,2,2,51,26,241,240,49,6,2,3,1,2,6,0,0,656
Tuesday,0,0,0,0,3,7,7,2,0,2,0,40,22,195,196,41,6,7,4,7,2,0,0,0,550
Wednesday,0,0,0,0,6,6,7,2,2,1,7,26,15,132,131,29,3,2,4,2,5,6,0,0,395
Thursday,0,0,0,0,5,7,1,1,0,0,5,45,24,213,212,46,1,0,6,0,6,0,0,0,581
Friday,0,0,0,0,1,3,7,3,6,6,0,24,12,123,123,26,2,0,1,5,6,1,0,0,357
Monday,0,0,0,0,1,5,6,4,7,3,7,25,14,113,115,25,7,5,4,7,3,8,0,0,368
Saturday,0,0,0,0,0,0,0,0,5,2,2,60,48,18,76,31,3,6,7,0,7,4,0,4,279
Saturday,0,0,0,0,0,0,0,5,6,5,7,91,36,20,56,72,1,2,6,5,2,6,4,1,334
Saturday,0,0,0,0,0,0,0,1,7,2,5,24,66,109,43,87,4,3,6,5,1,0,0,5,374
Saturday,0,0,0,0,0,0,0,5,7,0,3,33,49,67,81,19,4,1,1,7,4,3,7,1,301
Saturday,0,0,0,0,0,0,0,4,3,0,0,26,40,64,14,52,6,7,6,2,7,5,7,1,254
Saturday,0,0,0,0,0,0,0,1,2,0,0,93,73,39,22,56,2,6,6,4,3,5,2,2,323
Sunday,0,0,0,0,0,0,0,1,4,7,1,69,16,57,29,40,3,7,7,0,3,6,1,7,266
Sunday,0,0,0,0,0,0,0,3,7,7,0,24,119,70,93,50,6,7,0,6,2,3,1,0,404
Sunday,0,0,0,0,0,0,0,4,1,0,1,55,15,27,68,43,0,2,4,4,6,7,3,0,249
Sunday,0,0,0,0,0,0,0,1,3,3,6,81,41,60,103,22,7,6,0,0,4,4,4,1,354
Sunday,0,0,0,0,0,0,0,0,7,6,7,26,69,120,94,48,5,7,7,5,6,7,5,7,436
Sunday,0,0,0,0,0,0,0,1,0,2,3,22,34,44,12,56,0,5,7,0,7,1,2,0,203
