Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,4,0,3,4,37,26,0,25,33,5,38,43,41,33,17,20,37,22,0,0,397
Wednesday,0,0,0,0,23,32,27,33,19,5,4,19,26,6,9,26,15,32,17,33,8,27,0,0,372
Thursday,0,0,0,0,0,27,23,16,14,6,22,7,4,21,17,29,32,35,2,32,37,37,0,0,371
Friday,0,0,0,0,15,15,23,8,15,11,9,5,24,20,4,1,18,0,15,12,0,7,0,0,210
Monday,0,0,0,0,33,18,22,24,9,11,16,14,9,0,2,33,3,10,24,6,5,8,0,0,254
Tuesday,0,0,0,0,21,2,11,10,31,28,23,24,16,8,1,14,24,24,8,6,13,3,0,0,274
Wednesday,0,0,0,0,9,0,17,2,20,22,16,5,2,19,5,3,11,24,9,21,22,29,0,0,244
Thursday,0,0,0,0,15,6,28,6,5,15,23,20,32,25,28,23,19,1,22,25,31,20,0,0,353
Friday,0,0,0,0,26,23,21,37,42,24,32,28,3,30,9,31,16,19,36,2,16,27,0,0,431
Monday,0,0,0,0,33,16,9,28,11,19,30,35,29,12,28,5,15,37,25,31,31,12,0,0,414
Tuesday,0,0,0,0,3,27,9,4,37,24,20,2,26,1,26,4,24,26,7,1,30,12,0,0,291
Wednesday,0,0,0,0,27,35,25,41,31,12,25,17,5,8,35,42,20,35,6,41,19,22,0,0,457
Thursday,0,0,0,0,17,10,12,12,27,16,3,34,19,34,12,1,4,7,8,3,17,34,0,0,278
Friday,0,0,0,0,2,36,36,27,19,21,0,9,9,30,1,43,34,34,37,36,4,7,0,0,393
Monday,0,0,0,0,12,25,11,38,1,10,35,36,40,26,8,32,4,37,14,11,3,6,0,0,358
Tuesday,0,0,0,0,6,5,23,25,12,25,18,20,7,10,14,10,1,4,25,6,17,4,0,0,241
Wednesday,0,0,0,0,1,3,20,14,21,21,0,2,27,13,12,8,28,21,8,28,24,19,0,0,278
Thursday,0,0,0,0,37,38,16,23,36,26,19,12,9,37,2,29,38,36,3,37,2,10,0,0,421
Friday,0,0,0,0,36,9,33,2,34,29,18,21,4,2,13,13,3,33,5,32,19,6,0,0,320
Monday,0,0,0,0,7,3,15,7,42,10,35,10,32,5,17,22,6,3,38,14,11,17,0,0,305
Tuesday,0,0,0,0,17,17,6,9,17,28,21,20,15,14,8,0,5,15,10,28,24,2,0,0,266
Wednesday,0,0,0,0,17,10,19,10,18,22,18,31,18,9,36,14,34,2,21,14,36,6,0,0,342
Thursday,0,0,0,0,36,20,2,21,2,27,30,24,6,9,19,31,33,16,30,16,37,0,0,0,369
Friday,0,0,0,0,34,4,21,13,16,6,17,36,23,25,22,22,21,20,33,14,30,12,0,0,378
Monday,0,0,0,0,4,2,15,28,37,9,1,8,33,26,7,26,26,8,40,10,14,13,0,0,315
Tuesday,0,0,0,0,1,43,34,2,10,41,1,11,15,21,11,14,25,7,41,30,13,2,0,0,332
Wednesday,0,0,0,0,4,31,31,5,38,32,4,5,22,12,9,0,6,22,1,25,39,9,0,0,305
Thursday,0,0,0,0,25,10,17,14,1,3,36,9,23,10,21,26,26,8,0,16,8,13,0,0,276
Friday,0,0,0,0,32,41,3,10,28,20,35,41,35,2,6,11,7,5,26,23,24,34,0,0,389
Monday,0,0,0,0,4,22,12,30,32,10,18,33,6,27,7,35,16,25,23,19,1,3,0,0,331
Saturday,0,0,0,0,0,0,1,1,3,6,5,1,5,5,6,5,58,70,30,43,7,4,3,0,262
Saturday,0,0,0,0,0,0,4,1,4,0,4,5,5,6,3,6,28,73,56,42,0,7,7,0,258
Saturday,0,0,0,0,0,0,3,0,7,1,2,6,1,5,0,0,60,13,38,27,4,7,1,0,183
Saturday,0,0,0,0,0,0,5,4,0,2,1,7,5,1,2,6,54,41,63,28,2,7,2,0,238
Saturday,0,0,0,0,0,0,7,1,4,3,2,5,0,6,1,6,50,32,84,66,0,6,0,0,281
Saturday,0,0,0,0,0,0,5,6,1,6,2,0,4,4,7,3,34,60,48,13,0,6,0,0,207
Sunday,0,0,0,0,0,0,0,3,2,0,2,4,1,5,5,0,49,37,58,14,2,0,7,0,198
Sunday,0,0,0,0,0,0,6,4,1,1,4,0,5,0,3,6,102,62,21,43,1,5,3,0,274
Sunday,0,0,0,0,0,0,2,0,5,7,0,4,0,7,3,2,49,117,97,25,2,2,0,0,330
Sunday,0,0,0,0,0,0,4,3,5,5,1,1,3,1,7,1,51,65,24,12,3,2,0,0,196
Sunday,0,0,0,0,0,0,1,7,2,2,5,7,0,0,2,5,21,40,96,77,5,5,7,0,291
Sunday,0,0,0,0,0,0,2,2,7,0,0,0,7,4,0,6,46,25,57,33,4,3,0,0,203
