Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,6,7,68,28,14,67,1,6,5,5,7,1,2,5,6,6,5,2,0,0,250
Wednesday,0,0,0,0,5,15,98,41,20,100,1,4,3,4,5,5,5,7,3,4,6,6,0,0,340
Thursday,0,0,0,0,1,9,82,31,16,24,1,0,6,6,7,5,2,0,3,3,7,7,0,0,219
Friday,0,0,0,0,3,10,59,24,12,71,4,1,4,7,3,6,3,7,5,1,6,5,0,0,240
Monday,0,0,0,0,7,10,97,39,21,69,0,2,5,4,4,1,7,4,1,7,3,2,0,0,291
Tuesday,0,0,0,0,7,1,118,51,26,77,7,6,0,7,7,6,1,3,2,4,5,0,0,0,338
Wednesday,0,0,0,0,3,0,99,42,21,93,7,5,3,3,2,4,4,5,1,3,6,0,0,0,311
Thursday,0,0,0,0,7,19,93,37,20,77,4,3,1,1,0,4,7,3,0,1,3,6,0,0,295
Friday,0,0,0,0,2,16,85,37,20,102,7,0,4,6,0,2,3,1,4,3,5,2,0,0,308
Monday,0,0,0,0,4,12,109,45,23,199,1,7,1,1,0,7,2,6,3,3,2,1,0,0,434
Tuesday,0,0,0,0,1,5,66,27,14,16,8,2,2,0,6,1,1,5,6,2,2,2,0,0,174
Wednesday,0,0,0,0,3,0,86,33,19,34,4,5,1,3,0,3,1,0,6,3,1,1,0,0,212
Thursday,0,0,0,0,0,12,68,29,16,28,6,7,5,7,2,0,7,2,1,7,6,5,0,0,216
Friday,0,0,0,0,1,2,54,25,13,97,4,6,6,3,2,0,7,4,5,7,7,2,0,0,254
Monday,0,0,0,0,4,8,78,32,15,125,1,1,3,1,6,3,2,7,6,7,3,1,0,0,313
Tuesday,0,0,0,0,0,18,119,48,26,48,1,2,1,5,0,3,6,4,7,1,6,2,0,0,305
Wednesday,0,0,0,0,4,4,115,48,23,181,2,3,4,0,7,4,0,5,4,3,2,4,0,0,423
Thursday,0,0,0,0,2,22,118,49,23,95,4,1,6,6,1,3,7,4,3,4,3,7,0,0,364
Friday,0,0,0,0,7,4,56,23,12,33,6,4,1,5,6,6,5,6,5,7,5,3,0,0,202
Monday,0,0,0,0,0,13,62,25,15,0,4,5,2,4,6,5,5,4,2,3,7,8,0,0,179
Tuesday,0,0,0,0,3,16,92,37,20,94,2,7,7,0,6,0,4,5,4,0,7,4,0,0,317
Wednesday,0,0,0,0,5,6,55,23,13,10,7,7,2,0,6,1,2,0,6,5,6,5,0,0,167
Thursday,0,0,0,0,2,11,98,39,20,90,3,4,2,3,7,4,0,7,5,0,1,3,0,0,308
Friday,0,0,0,0,1,6,120,50,27,40,0,5,0,4,1,2,7,4,4,0,6,2,0,0,287
Monday,0,0,0,0,5,6,86,35,17,148,2,2,0,2,7,4,6,2,2,5,5,7,0,0,349
Tuesday,0,0,0,0,0,5,87,33,20,90,7,4,7,4,4,2,4,6,6,7,7,0,0,0,303
Wednesday,0,0,0,0,1,0,81,34,17,57,6,6,5,2,2,6,3,1,4,3,0,1,0,0,238
Thursday,0,0,0,0,5,6,68,29,15,101,0,5,4,0,6,5,2,2,2,7,5,2,0,0,273
Friday,0,0,0,0,3,9,110,43,23,158,5,1,4,7,3,0,6,0,3,7,2,1,0,0,394
Monday,0,0,0,0,3,26,117,46,23,64,3,6,5,3,5,2,3,7,6,0,4,4,0,0,337
Saturday,0,0,0,0,0,13,22,43,2,3,5,1,5,2,3,2,5,5,0,4,1,6,1,0,133
Saturday,0,0,0,0,0,94,26,46,5,5,0,1,0,2,6,1,2,7,2,5,6,1,4,0,221
Saturday,0,0,0,0,0,101,62,80,4,6,1,6,0,3,2,2,7,2,6,0,1,3,3,0,299
Saturday,0,0,0,0,0,60,22,40,5,6,6,0,3,7,6,2,4,4,3,7,6,5,0,0,195
Saturday,0,0,0,0,0,23,49,117,2,6,4,6,5,1,4,0,1,6,6,6,7,0,7,0,261
Saturday,0,0,0,0,0,68,32,49,8,0,1,4,2,5,5,5,4,1,2,1,0,5,0,0,201
Sunday,0,0,0,0,0,66,44,23,7,6,3,4,1,6,7,6,0,1,4,5,4,0,5,0,201
Sunday,0,0,0,0,0,28,41,72,3,3,7,7,4,4,5,1,3,6,0,3,0,6,5,0,206
Sunday,0,0,0,0,0,122,74,98,2,0,4,1,4,3,3,7,2,7,0,4,4,4,3,0,352
Sunday,0,0,0,0,0,95,73,25,1,6,5,4,6,1,2,3,4,1,4,1,3,1,6,0,250
Sunday,0,0,0,0,0,38,51,64,3,4,2,8,5,3,3,5,4,4,4,6,2,0,1,0,215
Sunday,0,0,0,0,0,37,63,16,7,6,0,5,0,2,0,4,0,5,7,3,4,3,0,0,170
