Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,3,7,2,5,7,6,1,27,140,138,14,28,5,0,5,4,6,0,0,0,408
Wednesday,0,0,0,0,5,6,7,7,1,2,5,38,191,193,19,40,4,2,0,6,4,2,0,0,539
Thursday,0,0,0,0,6,5,1,5,2,5,7,34,168,165,19,35,7,3,2,4,2,0,0,0,477
Friday,0,0,0,0,3,1,7,7,7,1,5,45,229,227,23,45,5,2,1,6,0,5,0,0,626
Monday,0,0,0,0,4,7,4,5,1,3,2,29,146,145,18,31,5,4,6,0,7,3,0,0,430
Tuesday,0,0,0,0,1,4,4,7,7,0,2,60,293,292,31,59,6,4,2,1,4,6,0,0,792
Wednesday,0,0,0,0,2,3,5,3,2,0,5,29,137,140,14,27,7,5,5,2,4,0,0,0,400
Thursday,0,0,0,0,6,6,3,2,5,3,1,51,255,254,28,52,6,6,1,3,6,0,0,0,696
Friday,0,0,0,0,7,4,3,2,3,5,3,23,115,114,12,24,7,0,5,7,5,5,0,0,353
Monday,0,0,0,0,5,4,6,2,4,4,2,24,116,118,14,23,2,7,2,0,1,3,0,0,345
Tuesday,0,0,0,0,2,1,3,1,3,2,6,53,260,258,27,55,2,7,2,1,6,0,0,0,697
Wednesday,0,0,0,0,4,2,6,7,6,7,2,41,195,195,21,42,6,1,7,6,7,7,0,0,570
Thursday,0,0,0,0,2,3,3,7,7,7,3,48,236,235,25,48,6,5,7,3,4,1,0,0,659
Friday,0,0,0,0,7,4,5,7,3,1,6,45,208,207,22,44,3,0,2,5,5,2,0,0,587
Monday,0,0,0,0,7,0,7,1,0,5,5,60,295,299,29,62,4,4,2,2,6,1,0,0,798
Tuesday,0,0,0,0,6,1,3,0,4,5,3,42,213,212,24,44,2,2,3,6,8,3,0,0,589
Wednesday,0,0,0,0,7,3,2,1,1,0,7,34,171,171,20,34,5,4,5,1,1,5,0,0,480
Thursday,0,0,0,0,3,6,1,4,6,6,2,54,272,272,28,56,3,3,2,6,3,7,0,0,744
Friday,0,0,0,0,0,0,1,0,3,6,3,62,298,298,32,61,0,7,5,7,0,4,0,0,795
Monday,0,0,0,0,2,2,7,7,6,0,3,55,275,275,30,55,7,2,5,3,0,7,0,0,751
Tuesday,0,0,0,0,5,2,7,2,5,6,6,36,181,180,20,36,0,3,1,7,0,0,0,0,505
Wednesday,0,0,0,0,1,5,4,3,1,5,6,53,262,266,29,56,0,3,6,2,4,2,0,0,716
Thursday,0,0,0,0,4,7,5,6,4,2,0,47,232,233,25,48,3,2,0,3,6,2,0,0,636
Friday,0,0,0,0,0,1,7,6,6,5,5,54,255,257,27,54,3,5,5,2,5,5,0,0,711
Monday,0,0,0,0,5,3,5,7,3,7,3,40,205,207,24,42,7,2,7,5,7,0,0,0,590
Tuesday,0,0,0,0,1,7,2,6,0,3,2,44,206,207,23,42,0,7,0,2,2,5,0,0,566
Wednesday,0,0,0,0,0,3,1,1,3,4,2,53,264,264,30,56,4,3,4,4,7,3,0,0,712
Thursday,0,0,0,0,0,4,1,3,7,1,6,47,239,239,27,48,2,6,4,2,5,5,0,0,655
Friday,0,0,0,0,3,0,4,3,1,5,5,37,182,181,18,37,2,7,6,7,3,0,0,0,511
Monday,0,0,0,0,5,5,6,5,5,7,7,42,206,206,23,44,6,3,5,3,1,3,0,0,590
Saturday,0,0,0,0,0,0,0,7,6,0,1,21,39,79,60,98,1,4,1,1,2,1,2,2,334
Saturday,0,0,0,0,0,0,0,1,1,2,4,104,20,41,62,82,2,7,0,5,1,6,3,1,350
Saturday,0,0,0,0,0,0,0,4,6,6,0,25,67,89,109,44,7,7,0,6,1,1,0,0,378
Saturday,0,0,0,0,0,0,0,2,0,1,0,28,43,53,68,16,3,7,4,2,0,5,7,6,252
Saturday,0,0,0,0,0,0,0,1,7,4,4,71,93,26,48,117,1,6,5,0,4,2,3,1,400
Saturday,0,0,0,0,0,0,0,5,6,7,2,19,71,53,34,87,6,0,7,1,4,1,7,5,323
Sunday,0,0,0,0,0,0,0,0,1,6,3,62,105,22,44,85,1,7,0,4,3,4,2,3,360
Sunday,0,0,0,0,0,0,0,0,4,3,6,76,58,38,18,93,1,2,3,4,4,2,5,4,331
Sunday,0,0,0,0,0,0,0,5,2,6,7,38,13,63,24,51,1,0,0,0,3,0,2,5,227
Sunday,0,0,0,0,0,0,0,5,0,5,5,37,71,54,19,89,7,3,0,1,5,1,0,6,318
Sunday,0,0,0,0,0,0,0,7,3,3,7,87,71,18,34,52,7,5,0,3,1,0,0,1,307
Sunday,0,0,0,0,0,0,0,4,1,3,1,14,28,68,42,55,3,6,0,3,0,0,0,4,241
