Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,8,1,6,7,0,5,0,31,123,298,90,60,3,6,4,4,2,0,0,0,655
Wednesday,0,0,0,0,0,1,6,0,3,6,4,25,101,253,78,53,3,0,2,2,4,7,0,0,555
Thursday,0,0,0,0,4,0,3,6,6,6,2,27,104,254,77,50,2,4,4,6,5,5,0,0,574
Friday,0,0,0,0,7,4,7,4,0,4,0,28,104,263,79,52,3,6,7,4,5,1,0,0,587
Monday,0,0,0,0,1,2,8,0,1,0,6,30,118,295,90,61,3,2,6,0,8,4,0,0,643
Tuesday,0,0,0,0,2,4,6,4,0,4,1,17,61,149,46,32,4,7,3,6,4,4,0,0,364
Wednesday,0,0,0,0,3,4,0,4,5,0,0,20,76,188,58,38,1,2,2,6,3,2,0,0,419
Thursday,0,0,0,0,0,2,4,7,7,2,3,14,53,131,40,26,3,6,2,4,1,7,0,0,320
Friday,0,0,0,0,5,5,3,0,2,5,3,12,48,115,37,24,6,2,5,2,4,2,0,0,288
Monday,0,0,0,0,5,6,6,6,7,3,1,19,76,181,56,39,0,6,7,1,0,6,0,0,433
Tuesday,0,0,0,0,5,3,1,2,7,3,0,16,66,161,49,32,5,2,6,4,5,3,0,0,376
Wednesday,0,0,0,0,5,6,6,5,6,1,1,13,46,116,37,24,4,2,0,1,7,3,0,0,293
Thursday,0,0,0,0,6,4,7,7,7,5,6,27,103,256,76,54,1,5,5,1,1,4,0,0,584
Friday,0,0,0,0,0,5,7,6,3,7,0,25,97,242,72,48,3,6,4,1,5,4,0,0,544
Monday,0,0,0,0,1,2,4,5,2,2,2,31,113,282,86,59,4,5,0,4,5,1,0,0,616
Tuesday,0,0,0,0,8,6,5,3,7,7,5,31,119,290,86,58,4,6,4,6,3,2,0,0,658
Wednesday,0,0,0,0,2,4,1,7,3,5,5,21,87,218,64,45,6,6,0,7,7,0,0,0,497
Thursday,0,0,0,0,3,1,7,4,1,4,7,13,47,110,36,24,0,3,5,2,1,4,0,0,280
Friday,0,0,0,0,7,8,3,5,0,2,2,29,115,287,89,58,0,4,0,3,5,7,0,0,632
Monday,0,0,0,0,1,0,4,4,6,0,1,24,98,244,76,51,4,1,4,1,3,6,0,0,538
Tuesday,0,0,0,0,7,1,2,2,1,0,2,23,93,226,67,47,1,2,3,7,6,3,0,0,501
Wednesday,0,0,0,0,6,3,3,0,0,5,3,18,62,153,47,31,3,7,0,6,4,0,0,0,363
Thursday,0,0,0,0,5,3,5,5,2,6,0,11,50,119,34,24,4,7,4,0,4,3,0,0,296
Friday,0,0,0,0,4,2,3,2,2,1,4,18,74,181,53,36,7,5,2,3,1,1,0,0,410
Monday,0,0,0,0,0,4,7,2,2,3,4,10,41,103,33,21,2,3,4,0,7,4,0,0,258
Tuesday,0,0,0,0,1,2,7,4,6,3,2,31,116,292,89,60,4,2,3,0,0,3,0,0,633
Wednesday,0,0,0,0,1,4,6,4,5,5,0,22,86,215,65,45,1,3,3,7,2,7,0,0,489
Thursday,0,0,0,0,1,1,0,3,5,6,5,28,101,253,76,51,0,3,2,2,7,1,0,0,553
Friday,0,0,0,0,2,7,5,4,3,2,4,11,43,104,32,23,2,7,1,2,3,2,0,0,263
Monday,0,0,0,0,7,4,5,3,4,2,0,28,111,277,83,58,0,3,3,2,2,2,0,0,602
Saturday,0,0,0,0,0,20,58,38,7,6,0,5,7,4,7,4,7,1,5,3,4,5,2,0,192
Saturday,0,0,0,0,0,66,80,48,7,7,4,2,5,6,6,3,2,0,2,4,2,7,2,0,263
Saturday,0,0,0,0,0,21,80,59,4,6,4,3,2,0,3,1,1,2,5,0,6,7,2,0,215
Saturday,0,0,0,0,0,60,41,84,7,5,3,2,3,3,0,1,3,3,1,3,3,4,3,0,239
Saturday,0,0,0,0,0,28,44,70,2,7,1,2,7,3,0,1,2,2,3,1,1,2,7,0,191
Saturday,0,0,0,0,0,38,24,61,5,6,7,4,4,3,7,6,2,0,7,6,7,5,7,0,206
Sunday,0,0,0,0,0,55,22,34,1,7,7,3,5,1,4,4,5,7,3,7,1,3,1,0,178
Sunday,0,0,0,0,0,50,62,79,7,6,2,3,3,5,2,6,5,3,4,0,4,3,6,0,260
Sunday,0,0,0,0,0,44,12,55,3,4,1,3,7,5,4,5,2,2,7,0,6,3,4,0,175
Sunday,0,0,0,0,0,51,32,66,7,0,6,4,4,1,2,2,1,3,0,2,4,1,6,0,199
Sunday,0,0,0,0,0,42,58,29,1,6,7,5,1,4,6,5,5,7,7,0,0,7,4,0,203
Sunday,0,0,0,0,0,50,59,12,7,3,0,4,7,4,2,0,0,0,6,4,1,3,3,0,173
