Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,3,21,0,11,27,25,31,36,12,28,36,11,35,31,18,4,11,1,0,0,349
Wednesday,0,0,0,0,11,29,31,33,7,36,25,11,6,23,34,22,12,22,7,12,29,35,0,0,394
Thursday,0,0,0,0,19,20,20,13,14,2,14,15,7,6,16,16,1,2,0,7,13,7,0,0,200
Friday,0,0,0,0,21,31,18,18,0,14,22,6,21,18,32,32,23,29,15,10,35,23,0,0,374
Monday,0,0,0,0,31,1,12,5,28,24,9,33,12,21,12,23,30,34,12,9,32,29,0,0,366
Tuesday,0,0,0,0,4,29,12,9,2,28,19,31,12,28,9,20,11,31,2,25,3,13,0,0,296
Wednesday,0,0,0,0,8,24,11,1,25,12,5,29,28,8,18,7,11,5,10,12,7,26,0,0,255
Thursday,0,0,0,0,26,10,27,6,1,27,34,34,9,29,13,33,20,11,32,28,5,17,0,0,371
Friday,0,0,0,0,27,11,31,9,31,22,18,23,3,28,5,38,28,35,24,22,6,29,0,0,398
Monday,0,0,0,0,23,35,7,26,8,35,22,33,20,36,3,26,1,20,13,40,20,20,0,0,396
Tuesday,0,0,0,0,2,19,42,15,11,35,18,41,0,19,1,19,8,25,1,8,11,35,0,0,320
Wednesday,0,0,0,0,3,1,9,7,13,10,8,16,4,32,29,10,11,20,21,13,9,25,0,0,250
Thursday,0,0,0,0,16,2,13,22,24,16,16,14,11,0,16,2,26,13,16,20,17,24,0,0,277
Friday,0,0,0,0,12,14,26,27,18,21,21,18,15,30,17,29,4,14,28,31,20,2,0,0,357
Monday,0,0,0,0,15,0,22,37,1,36,31,22,30,33,24,33,34,36,26,3,27,1,0,0,419
Tuesday,0,0,0,0,23,20,32,14,24,28,4,22,32,19,12,21,21,10,32,10,24,28,0,0,386
Wednesday,0,0,0,0,7,9,22,18,24,32,11,16,11,30,10,7,23,3,18,11,19,15,0,0,294
Thursday,0,0,0,0,4,34,12,17,15,13,16,28,21,25,15,31,4,19,18,28,16,28,0,0,354
Friday,0,0,0,0,28,27,28,14,3,36,9,9,18,6,1,5,6,0,9,5,14,1,0,0,229
Monday,0,0,0,0,5,27,35,0,36,14,23,24,31,30,6,20,24,27,21,17,16,20,0,0,385
Tuesday,0,0,0,0,22,11,11,17,31,26,19,34,30,9,25,14,12,3,28,31,21,19,0,0,373
Wednesday,0,0,0,0,14,36,31,2,41,26,22,27,4,24,7,4,2,36,33,22,2,36,0,0,378
Thursday,0,0,0,0,1,18,36,30,7,37,19,29,22,39,10,12,20,1,15,0,4,37,0,0,346
Friday,0,0,0,0,39,24,35,29,41,28,10,41,8,1,16,28,30,25,38,12,7,24,0,0,443
Monday,0,0,0,0,14,10,4,2,28,17,31,20,21,20,14,7,31,32,27,4,9,22,0,0,323
Tuesday,0,0,0,0,21,10,0,17,34,36,27,40,27,38,2,10,16,14,28,39,21,0,0,0,390
Wednesday,0,0,0,0,27,1,13,32,1,18,34,6,27,9,18,17,35,37,6,25,0,27,0,0,341
Thursday,0,0,0,0,23,39,4,1,32,33,2,32,14,24,3,10,11,22,34,40,15,23,0,0,372
Friday,0,0,0,0,32,22,26,31,14,29,15,27,2,14,32,28,31,31,29,10,19,17,0,0,417
Monday,0,0,0,0,34,36,21,17,4,4,5,18,4,12,11,35,16,41,22,33,38,30,0,0,391
Saturday,0,0,0,0,0,26,36,61,1,0,0,7,3,3,1,7,2,3,4,3,1,7,6,0,178
Saturday,0,0,0,0,0,56,17,29,1,1,0,4,2,2,7,2,2,0,3,7,6,7,6,0,161
Saturday,0,0,0,0,0,120,70,25,6,2,5,7,0,3,5,3,5,3,1,2,6,2,4,0,278
Saturday,0,0,0,0,0,49,15,60,5,5,3,6,5,7,5,6,6,6,5,1,3,6,6,0,209
Saturday,0,0,0,0,0,26,62,14,4,1,0,1,2,1,2,6,5,1,2,3,3,5,5,0,153
Saturday,0,0,0,0,0,73,17,44,7,2,6,0,3,5,3,6,4,4,5,0,5,0,3,0,196
Sunday,0,0,0,0,0,41,22,84,3,3,7,0,6,5,7,3,2,5,1,5,5,3,7,0,218
Sunday,0,0,0,0,0,22,99,59,5,7,2,1,4,1,4,3,3,3,4,6,6,2,3,0,241
Sunday,0,0,0,0,0,13,25,50,3,1,5,6,7,6,5,0,3,1,0,7,1,5,6,0,152
Sunday,0,0,0,0,0,83,103,21,2,0,1,5,6,1,0,0,3,1,3,0,0,6,2,0,247
Sunday,0,0,0,0,0,19,33,83,2,6,2,6,3,7,5,3,2,7,0,5,3,7,0,0,204
Sunday,0,0,0,0,0,78,96,39,3,5,7,1,6,4,6,1,3,2,0,7,5,2,5,0,279
