Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,22,26,26,10,31,21,31,10,5,13,15,28,252,251,28,50,101,24,0,0,951
Wednesday,0,0,0,0,39,2,7,3,7,11,41,28,29,1,0,7,264,264,30,55,107,24,0,0,926
Thursday,0,0,0,0,3,30,9,30,16,32,36,11,29,3,31,16,237,236,25,50,94,34,0,0,931
Friday,0,0,0,0,2,15,4,12,17,10,18,25,10,15,28,23,113,113,13,25,47,12,0,0,512
Monday,0,0,0,0,12,34,20,1,26,17,11,11,27,20,19,7,194,195,21,40,79,28,0,0,770
Tuesday,0,0,0,0,1,30,0,34,13,12,32,29,2,38,8,15,232,232,24,47,95,2,0,0,854
Wednesday,0,0,0,0,6,22,11,29,42,18,31,27,40,34,18,15,286,286,31,58,113,13,0,0,1087
Thursday,0,0,0,0,4,17,26,8,12,6,21,19,8,32,7,4,201,199,21,41,80,16,0,0,732
Friday,0,0,0,0,11,9,1,29,1,23,25,11,29,0,13,23,153,150,17,30,62,2,0,0,597
Monday,0,0,0,0,35,3,15,2,8,4,1,38,20,3,7,2,249,248,28,51,100,4,0,0,829
Tuesday,0,0,0,0,20,37,20,9,37,0,21,20,23,37,6,2,265,264,27,56,106,37,0,0,995
Wednesday,0,0,0,0,34,27,9,1,5,24,24,26,13,26,26,16,233,234,23,48,92,14,0,0,881
Thursday,0,0,0,0,17,37,16,17,2,35,38,6,34,23,1,37,224,224,25,47,90,11,0,0,893
Friday,0,0,0,0,32,6,26,39,3,35,42,35,1,2,27,8,276,274,30,54,112,32,0,0,1044
Monday,0,0,0,0,35,0,1,12,27,20,34,22,17,39,36,18,249,247,27,51,100,32,0,0,976
Tuesday,0,0,0,0,8,9,26,6,0,5,23,11,2,18,8,31,153,149,15,31,61,8,0,0,571
Wednesday,0,0,0,0,0,10,8,4,11,17,11,23,6,30,21,0,135,137,17,30,57,3,0,0,529
Thursday,0,0,0,0,10,31,10,4,14,33,31,6,11,1,5,0,231,234,23,49,94,29,0,0,825
Friday,0,0,0,0,36,19,27,29,32,28,27,22,38,22,37,23,223,226,25,47,92,7,0,0,968
Monday,0,0,0,0,20,23,23,2,11,8,4,20,4,6,10,12,117,117,14,25,49,20,0,0,494
Tuesday,0,0,0,0,16,7,21,31,26,32,8,20,36,3,3,16,207,206,23,43,86,25,0,0,820
Wednesday,0,0,0,0,5,40,2,33,1,16,24,16,40,16,18,30,290,286,28,60,117,42,0,0,1073
Thursday,0,0,0,0,33,15,34,16,14,14,2,33,16,18,12,28,176,175,18,35,73,20,0,0,742
Friday,0,0,0,0,15,12,16,13,17,4,12,4,18,10,24,22,160,161,17,35,63,22,0,0,635
Monday,0,0,0,0,15,13,0,7,9,14,5,33,23,35,4,18,216,215,23,45,85,12,0,0,782
Tuesday,0,0,0,0,9,31,11,7,8,14,28,33,12,22,33,27,273,270,28,55,109,34,0,0,1012
Wednesday,0,0,0,0,11,29,28,0,13,31,15,4,10,38,31,12,237,234,27,50,97,26,0,0,900
Thursday,0,0,0,0,10,18,18,16,21,26,20,8,0,25,29,9,142,141,14,30,56,11,0,0,604
Friday,0,0,0,0,29,6,5,17,11,14,2,25,16,2,30,6,263,260,27,53,105,28,0,0,907
Monday,0,0,0,0,25,23,21,7,25,11,10,15,4,6,5,9,148,147,16,31,58,0,0,0,570
Saturday,0,0,0,0,0,0,1,4,1,5,7,6,2,7,5,3,95,118,24,74,6,4,6,0,377
Saturday,0,0,0,0,0,0,5,0,7,4,5,1,5,6,5,5,40,14,56,68,4,0,1,0,234
Saturday,0,0,0,0,0,0,1,7,0,3,1,6,3,2,7,5,114,47,68,25,1,6,3,0,305
Saturday,0,0,0,0,0,0,0,0,7,6,0,0,3,0,4,4,22,66,88,44,4,7,7,0,271
Saturday,0,0,0,0,0,0,6,2,5,1,0,4,4,7,6,7,20,62,43,82,2,0,0,0,261
Saturday,0,0,0,0,0,0,1,6,6,2,3,7,2,6,5,5,53,19,74,35,3,3,6,0,246
Sunday,0,0,0,0,0,0,6,7,6,7,6,4,2,3,4,6,71,23,91,117,7,1,4,0,373
Sunday,0,0,0,0,0,0,0,2,6,5,1,0,5,2,4,6,43,27,57,15,5,0,2,0,187
Sunday,0,0,0,0,0,0,0,6,0,4,2,0,0,4,1,6,29,15,53,39,7,5,7,0,185
Sunday,0,0,0,0,0,0,1,2,7,0,4,7,0,4,5,2,37,24,57,11,4,6,5,0,185
Sunday,0,0,0,0,0,0,6,2,7,2,6,1,4,2,5,7,40,15,50,28,6,7,3,0,201
Sunday,0,0,0,0,0,0,4,2,5,5,3,3,0,0,6,3,63,49,80,17,3,4,4,0,259
