Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,6,11,15,47,118,44,4,1,1,3,1,4,2,3,1,6,1,0,0,0,277
Wednesday,0,0,0,0,2,14,24,49,118,36,0,4,0,7,5,3,2,7,0,5,3,4,0,0,294
Thursday,0,0,0,0,6,26,34,94,236,83,2,0,1,1,2,3,4,2,5,4,5,1,0,0,519
Friday,0,0,0,0,2,21,24,82,206,84,1,5,5,7,2,3,6,5,6,2,4,7,0,0,479
Monday,0,0,0,0,6,17,27,60,144,46,4,4,5,2,2,1,2,5,2,3,4,2,0,0,344
Tuesday,0,0,0,0,5,14,30,53,133,44,1,1,7,6,6,1,5,7,7,1,2,2,0,0,334
Wednesday,0,0,0,0,0,30,44,112,273,90,4,6,3,7,7,5,1,1,3,3,4,1,0,0,601
Thursday,0,0,0,0,1,21,22,74,185,59,7,6,0,8,5,7,3,3,6,1,6,0,0,0,422
Friday,0,0,0,0,6,25,28,88,220,70,5,7,7,4,2,3,3,6,5,2,5,7,0,0,502
Monday,0,0,0,0,2,28,55,106,263,87,3,0,5,5,6,6,1,5,6,2,3,1,0,0,592
Tuesday,0,0,0,0,7,21,26,74,184,76,2,6,4,2,0,2,6,7,0,3,7,5,0,0,439
Wednesday,0,0,0,0,4,30,57,114,280,103,4,1,3,7,2,4,0,1,7,1,7,0,0,0,635
Thursday,0,0,0,0,3,21,36,83,206,83,2,2,0,4,0,5,8,4,4,7,0,3,0,0,478
Friday,0,0,0,0,1,30,36,113,280,88,1,4,0,7,8,6,0,0,0,1,7,2,0,0,591
Monday,0,0,0,0,4,30,53,114,282,104,1,1,2,3,0,7,5,2,6,2,0,7,0,0,633
Tuesday,0,0,0,0,7,27,50,99,239,94,1,5,3,0,4,4,6,2,3,4,1,0,0,0,560
Wednesday,0,0,0,0,4,23,29,90,217,88,7,6,4,1,6,5,5,1,7,1,3,1,0,0,508
Thursday,0,0,0,0,5,22,25,88,220,67,5,3,2,1,0,7,5,6,4,1,3,1,0,0,475
Friday,0,0,0,0,5,16,25,52,129,46,2,1,5,0,4,4,5,4,5,0,4,1,0,0,316
Monday,0,0,0,0,6,29,52,116,285,104,5,7,0,7,4,4,5,0,2,6,0,3,0,0,644
Tuesday,0,0,0,0,5,27,28,106,257,103,5,2,6,4,1,1,4,2,6,4,5,7,0,0,582
Wednesday,0,0,0,0,2,26,25,97,238,74,3,2,2,7,3,7,6,0,2,2,5,6,0,0,517
Thursday,0,0,0,0,4,12,16,43,100,41,3,3,3,0,7,7,1,5,4,5,4,4,0,0,271
Friday,0,0,0,0,6,26,36,92,227,83,5,0,0,5,7,2,4,3,3,1,3,3,0,0,514
Monday,0,0,0,0,1,18,20,65,155,57,1,1,6,5,6,4,7,0,6,3,7,1,0,0,372
Tuesday,0,0,0,0,5,13,12,44,106,32,1,5,3,4,0,2,7,3,6,0,2,3,0,0,259
Wednesday,0,0,0,0,3,21,19,73,179,71,2,5,5,0,4,7,6,6,3,3,0,0,0,0,417
Thursday,0,0,0,0,3,17,21,65,159,54,5,1,4,1,3,4,0,4,6,3,4,0,0,0,363
Friday,0,0,0,0,4,13,12,46,108,37,2,4,1,2,2,1,6,1,5,5,1,6,0,0,266
Monday,0,0,0,0,3,25,30,94,226,82,5,7,4,6,1,0,3,7,7,0,0,2,0,0,510
Saturday,0,0,0,0,0,64,21,44,1,4,2,0,4,6,3,0,2,6,5,2,4,6,7,0,190
Saturday,0,0,0,0,0,64,32,50,4,2,3,6,0,7,1,4,0,0,1,7,7,7,6,0,208
Saturday,0,0,0,0,0,76,94,58,0,6,6,2,0,7,1,2,7,2,0,7,3,0,5,0,285
Saturday,0,0,0,0,0,26,62,50,4,4,2,0,6,5,7,7,6,4,7,3,5,7,2,0,215
Saturday,0,0,0,0,0,29,41,68,5,4,6,6,4,7,5,6,2,1,0,3,6,1,0,0,202
Saturday,0,0,0,0,0,109,88,24,1,1,4,5,6,3,5,1,2,6,1,0,7,3,3,0,278
Sunday,0,0,0,0,0,58,22,78,6,3,1,6,7,4,3,3,3,7,0,3,3,7,2,0,226
Sunday,0,0,0,0,0,37,90,19,1,5,7,6,0,6,1,7,1,1,2,4,4,3,1,0,204
Sunday,0,0,0,0,0,32,58,72,3,2,6,0,4,2,0,4,2,2,7,0,2,4,3,0,211
Sunday,0,0,0,0,0,97,41,21,5,7,5,3,0,3,0,0,6,7,1,1,7,1,2,0,214
Sunday,0,0,0,0,0,50,19,35,6,7,4,5,2,3,4,5,7,0,0,7,4,5,6,0,178
Sunday,0,0,0,0,0,24,44,36,4,2,7,3,6,4,2,1,1,2,4,3,0,6,2,0,159
