Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,2,90,22,24,223,25,2,4,1,2,2,1,5,6,2,0,2,3,0,0,427
Wednesday,0,0,0,0,5,43,12,12,105,14,7,0,3,2,3,1,7,0,1,6,2,2,0,0,236
Thursday,0,0,0,0,4,59,18,17,148,16,6,3,4,0,4,7,1,7,4,0,4,0,0,0,310
Friday,0,0,0,0,1,85,22,22,208,23,6,3,3,4,3,2,7,4,7,5,2,0,0,0,415
Monday,0,0,0,0,6,46,11,12,108,14,5,5,6,4,2,3,3,4,6,1,5,0,0,0,248
Tuesday,0,0,0,0,7,68,19,16,167,17,1,7,5,7,1,7,5,0,5,4,5,1,0,0,352
Wednesday,0,0,0,0,5,85,20,22,204,24,7,7,2,0,7,6,4,4,0,7,6,5,0,0,425
Thursday,0,0,0,0,1,78,22,22,194,19,7,1,0,1,2,4,3,4,7,5,6,5,0,0,390
Friday,0,0,0,0,5,48,14,12,114,13,4,1,3,5,4,0,5,3,6,5,2,2,0,0,255
Monday,0,0,0,0,4,73,21,19,173,20,6,0,5,2,3,7,2,2,5,4,8,7,0,0,369
Tuesday,0,0,0,0,2,82,23,20,202,21,1,6,4,4,4,7,6,7,2,0,0,4,0,0,406
Wednesday,0,0,0,0,4,81,20,21,201,22,0,4,2,5,0,7,7,1,7,4,7,6,0,0,408
Thursday,0,0,0,0,4,97,24,25,242,27,6,0,5,1,0,5,3,0,2,2,3,2,0,0,456
Friday,0,0,0,0,3,42,12,13,102,11,7,6,0,2,3,5,1,5,7,1,2,0,0,0,230
Monday,0,0,0,0,1,82,21,21,204,21,0,5,7,5,3,2,5,6,1,7,3,2,0,0,406
Tuesday,0,0,0,0,5,94,23,24,231,23,0,1,5,3,3,0,7,4,1,0,2,4,0,0,439
Wednesday,0,0,0,0,1,45,12,12,110,15,6,6,0,0,6,3,4,7,6,5,7,4,0,0,257
Thursday,0,0,0,0,6,88,24,23,216,23,4,0,4,7,7,7,7,3,3,4,2,5,0,0,441
Friday,0,0,0,0,6,109,30,30,269,30,4,4,7,7,2,4,3,3,7,3,4,4,0,0,537
Monday,0,0,0,0,5,83,23,21,205,21,4,3,7,3,5,1,6,4,3,4,4,2,0,0,412
Tuesday,0,0,0,0,5,45,12,11,107,14,0,4,6,0,5,4,6,3,7,6,3,0,0,0,248
Wednesday,0,0,0,0,7,60,17,15,148,15,1,0,1,5,1,2,3,0,2,3,2,2,0,0,291
Thursday,0,0,0,0,2,72,19,17,171,19,6,5,4,4,6,1,7,7,7,6,3,6,0,0,372
Friday,0,0,0,0,4,107,26,29,259,26,6,7,2,2,0,0,5,6,7,5,4,2,0,0,505
Monday,0,0,0,0,6,48,14,13,113,14,2,5,5,2,2,0,3,6,1,3,2,0,0,0,248
Tuesday,0,0,0,0,6,102,27,26,249,25,0,5,5,7,6,4,4,0,6,5,3,4,0,0,494
Wednesday,0,0,0,0,6,104,28,28,260,28,1,1,3,1,6,6,3,6,1,6,1,4,0,0,501
Thursday,0,0,0,0,7,85,24,23,213,22,1,4,1,7,1,1,5,0,7,5,3,0,0,0,418
Friday,0,0,0,0,1,91,24,22,226,23,5,4,2,6,0,5,2,1,6,7,1,4,0,0,438
Monday,0,0,0,0,4,118,30,29,289,32,6,0,4,3,0,0,1,0,0,4,2,3,0,0,534
Saturday,0,0,0,0,0,0,0,7,2,1,1,48,60,32,76,15,1,0,7,2,4,2,3,7,276
Saturday,0,0,0,0,0,0,0,5,4,7,5,15,69,55,27,42,1,1,7,0,2,6,6,6,266
Saturday,0,0,0,0,0,0,0,8,4,1,1,42,66,22,107,89,6,6,2,1,0,6,2,3,375
Saturday,0,0,0,0,0,0,0,5,3,0,5,18,35,51,82,65,2,6,7,7,2,4,7,7,316
Saturday,0,0,0,0,0,0,0,7,4,5,1,32,76,46,16,62,0,7,4,2,7,1,7,7,294
Saturday,0,0,0,0,0,0,0,2,6,4,7,78,59,99,38,23,7,3,1,3,6,6,6,1,357
Sunday,0,0,0,0,0,0,0,5,6,7,7,89,74,37,19,54,2,2,0,6,2,5,4,7,336
Sunday,0,0,0,0,0,0,0,5,7,1,3,14,56,42,27,68,3,6,0,4,6,7,2,7,265
Sunday,0,0,0,0,0,0,0,3,1,4,4,32,45,55,22,14,1,2,2,3,3,2,1,5,209
Sunday,0,0,0,0,0,0,0,1,4,2,3,15,32,74,60,46,7,1,5,5,1,4,5,0,273
Sunday,0,0,0,0,0,0,0,6,2,5,3,44,16,58,31,71,7,6,5,5,8,3,5,4,285
Sunday,0,0,0,0,0,0,0,1,6,5,6,34,83,65,50,17,3,4,6,1,4,0,1,3,297
