Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,4,41,29,10,26,9,40,26,29,20,40,26,22,21,3,11,6,10,0,0,381
Wednesday,0,0,0,0,28,6,14,2,2,25,1,6,12,23,18,12,16,24,15,31,32,9,0,0,284
Thursday,0,0,0,0,26,6,18,29,6,14,8,25,18,27,14,26,19,12,16,19,17,8,0,0,315
Friday,0,0,0,0,6,4,9,0,1,8,27,29,8,16,15,33,31,19,29,37,24,24,0,0,328
Monday,0,0,0,0,11,15,5,23,30,10,28,29,8,33,5,22,17,30,16,1,23,5,0,0,321
Tuesday,0,0,0,0,22,3,27,18,20,10,5,28,7,22,12,13,22,28,13,4,3,5,0,0,270
Wednesday,0,0,0,0,25,27,35,6,14,25,20,24,22,30,30,16,35,8,1,26,0,9,0,0,362
Thursday,0,0,0,0,23,21,35,21,31,18,7,4,0,30,4,8,12,33,22,26,30,19,0,0,353
Friday,0,0,0,0,18,36,14,22,5,1,26,21,6,35,9,33,17,5,26,28,11,1,0,0,324
Monday,0,0,0,0,5,4,31,6,3,6,18,34,5,0,11,28,10,26,40,18,1,28,0,0,282
Tuesday,0,0,0,0,1,8,5,17,12,28,21,26,21,21,1,16,32,11,29,37,6,19,0,0,321
Wednesday,0,0,0,0,33,5,5,10,4,1,38,11,27,16,36,37,31,9,6,2,16,5,0,0,300
Thursday,0,0,0,0,6,32,13,37,6,3,14,28,37,31,23,12,19,34,3,38,15,10,0,0,370
Friday,0,0,0,0,9,25,31,31,13,30,18,8,12,16,3,21,3,20,34,5,18,13,0,0,319
Monday,0,0,0,0,18,4,37,25,1,25,4,7,19,6,3,6,2,0,9,42,2,36,0,0,258
Tuesday,0,0,0,0,11,27,25,25,28,17,20,23,15,4,9,20,15,6,2,5,16,4,0,0,280
Wednesday,0,0,0,0,0,5,9,7,22,17,17,24,2,10,2,18,9,17,12,13,0,17,0,0,210
Thursday,0,0,0,0,27,17,35,21,41,17,30,27,29,29,41,11,18,11,16,4,9,21,0,0,413
Friday,0,0,0,0,29,37,0,36,35,26,10,21,10,30,19,0,2,13,14,35,15,27,0,0,368
Monday,0,0,0,0,13,37,38,38,33,25,38,24,38,41,10,27,2,21,34,28,22,4,0,0,481
Tuesday,0,0,0,0,23,16,20,25,27,34,29,24,13,29,26,3,33,7,21,24,0,20,0,0,385
Wednesday,0,0,0,0,1,7,20,8,12,21,5,18,26,24,7,30,5,15,17,4,9,1,0,0,239
Thursday,0,0,0,0,30,18,29,12,35,19,13,37,19,26,26,28,3,29,15,12,3,3,0,0,367
Friday,0,0,0,0,10,16,6,0,32,1,19,30,6,32,24,12,34,5,23,23,6,18,0,0,305
Monday,0,0,0,0,26,1,13,22,13,12,3,27,12,27,27,24,21,30,22,11,30,3,0,0,334
Tuesday,0,0,0,0,18,12,8,23,10,26,21,6,19,23,3,16,27,23,0,18,8,23,0,0,293
Wednesday,0,0,0,0,4,29,17,12,12,30,17,12,31,29,24,22,28,18,20,17,1,3,0,0,335
Thursday,0,0,0,0,23,13,14,17,19,19,7,11,32,37,4,38,20,26,13,39,4,10,0,0,354
Friday,0,0,0,0,17,9,28,28,13,10,24,11,2,1,11,10,25,18,26,6,26,24,0,0,300
Monday,0,0,0,0,6,8,11,28,17,17,2,1,19,9,8,25,16,23,12,8,16,22,0,0,256
Saturday,0,0,0,0,0,19,60,94,4,0,4,4,6,2,4,2,7,2,6,6,1,2,1,0,233
Saturday,0,0,0,0,0,72,120,27,1,2,0,0,6,7,4,5,6,4,0,0,1,7,5,0,276
Saturday,0,0,0,0,0,55,65,26,1,1,1,3,1,5,6,0,7,6,0,0,2,0,5,0,192
Saturday,0,0,0,0,0,54,28,68,3,5,2,1,6,6,1,4,3,3,2,5,6,3,1,0,210
Saturday,0,0,0,0,0,45,35,14,7,1,2,0,3,0,7,0,2,7,7,0,3,5,5,0,155
Saturday,0,0,0,0,0,96,41,22,0,2,0,3,2,0,4,4,7,4,6,4,6,2,3,0,215
Sunday,0,0,0,0,0,34,87,69,6,2,4,6,7,4,2,7,6,5,0,3,0,4,6,0,259
Sunday,0,0,0,0,0,15,35,24,4,0,5,7,7,7,4,0,4,3,2,7,0,1,6,0,138
Sunday,0,0,0,0,0,79,22,60,6,3,4,0,1,1,0,2,2,2,7,6,6,2,2,0,212
Sunday,0,0,0,0,0,20,42,77,4,6,1,0,0,7,7,7,3,7,7,3,3,0,2,0,205
Sunday,0,0,0,0,0,54,34,85,6,2,4,4,3,5,2,2,1,0,2,1,5,7,3,0,231
Sunday,0,0,0,0,0,12,47,61,2,2,0,5,3,6,6,5,4,2,7,4,1,3,0,0,179
