Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,12,15,8,29,2,38,9,20,19,6,26,9,0,23,32,41,29,37,0,0,364
Wednesday,0,0,0,0,9,22,4,12,6,27,0,12,9,3,6,25,1,5,20,18,25,11,0,0,226
Thursday,0,0,0,0,31,18,31,4,19,30,35,4,30,9,27,26,19,16,18,1,22,3,0,0,353
Friday,0,0,0,0,29,34,4,27,2,10,32,16,32,26,34,36,35,38,15,6,18,14,0,0,418
Monday,0,0,0,0,17,3,13,29,35,11,2,1,16,8,19,30,9,15,0,12,28,27,0,0,284
Tuesday,0,0,0,0,19,2,29,28,36,38,24,29,2,12,23,11,29,22,29,24,19,32,0,0,417
Wednesday,0,0,0,0,12,28,15,21,29,18,20,6,6,23,23,23,10,21,8,2,32,0,0,0,306
Thursday,0,0,0,0,39,15,30,39,16,40,37,11,39,37,2,7,16,8,11,37,7,17,0,0,418
Friday,0,0,0,0,29,5,11,25,13,26,14,0,23,8,10,12,16,1,13,16,22,10,0,0,264
Monday,0,0,0,0,13,3,4,2,7,15,4,30,30,31,32,14,16,24,17,11,23,13,0,0,299
Tuesday,0,0,0,0,17,7,17,15,27,8,15,19,16,26,27,7,15,26,3,23,23,5,0,0,306
Wednesday,0,0,0,0,14,21,34,11,24,17,42,37,4,38,10,31,36,8,12,41,5,35,0,0,428
Thursday,0,0,0,0,6,5,28,27,3,37,41,36,3,26,2,42,13,24,8,28,34,32,0,0,402
Friday,0,0,0,0,0,19,0,12,23,16,5,5,26,11,34,19,14,15,6,13,10,13,0,0,249
Monday,0,0,0,0,39,13,37,37,35,29,31,19,24,24,12,15,12,26,15,16,41,18,0,0,454
Tuesday,0,0,0,0,3,9,15,18,7,11,26,1,1,18,0,9,29,33,0,25,17,22,0,0,252
Wednesday,0,0,0,0,13,13,8,18,14,1,20,14,33,17,36,44,21,12,36,35,11,19,0,0,374
Thursday,0,0,0,0,28,13,8,24,10,8,21,21,24,2,28,19,9,11,0,24,10,9,0,0,276
Friday,0,0,0,0,6,24,9,20,21,22,8,8,21,25,27,25,25,6,19,18,19,20,0,0,332
Monday,0,0,0,0,14,4,23,27,1,28,5,19,17,21,0,16,12,2,3,21,20,17,0,0,260
Tuesday,0,0,0,0,3,36,29,9,14,11,20,16,9,35,26,1,26,30,36,31,29,36,0,0,406
Wednesday,0,0,0,0,14,4,0,21,15,16,4,31,18,6,32,23,10,23,26,18,12,24,0,0,306
Thursday,0,0,0,0,8,25,18,13,25,11,26,17,31,6,4,15,31,3,10,18,21,32,0,0,323
Friday,0,0,0,0,6,12,7,8,8,8,3,7,18,26,19,5,19,11,18,34,32,6,0,0,257
Monday,0,0,0,0,15,6,0,23,13,7,28,20,17,30,27,17,3,5,6,15,27,27,0,0,295
Tuesday,0,0,0,0,10,17,6,20,4,5,21,39,18,27,31,24,11,16,10,12,27,44,0,0,350
Wednesday,0,0,0,0,36,7,6,13,34,19,17,6,15,23,4,15,5,6,17,28,19,33,0,0,313
Thursday,0,0,0,0,24,6,24,17,23,7,34,2,36,37,7,38,22,9,26,11,13,12,0,0,356
Friday,0,0,0,0,14,32,14,34,10,7,5,35,28,4,6,31,2,12,16,14,15,24,0,0,313
Monday,0,0,0,0,40,31,25,1,27,22,29,40,28,39,17,0,35,15,30,21,24,6,0,0,439
Saturday,0,0,0,0,0,65,41,28,2,5,4,1,0,4,1,5,2,1,3,5,4,6,4,0,191
Saturday,0,0,0,0,0,21,74,92,5,2,4,5,1,7,4,7,4,5,6,0,7,0,0,0,253
Saturday,0,0,0,0,0,97,56,20,6,4,6,7,3,2,1,6,1,5,0,1,4,5,3,0,236
Saturday,0,0,0,0,0,50,17,80,7,6,7,4,4,1,3,0,0,1,6,2,0,6,5,0,207
Saturday,0,0,0,0,0,63,83,42,0,6,3,6,7,1,1,0,5,2,1,4,4,1,1,0,238
Saturday,0,0,0,0,0,67,89,45,1,6,4,2,7,7,3,3,7,4,1,7,7,0,3,0,270
Sunday,0,0,0,0,0,21,33,54,7,0,2,1,7,5,1,3,4,7,3,1,6,3,7,0,172
Sunday,0,0,0,0,0,47,115,22,3,4,1,1,1,6,5,3,5,1,7,3,5,7,1,0,245
Sunday,0,0,0,0,0,62,52,13,7,7,7,2,5,1,2,4,6,5,5,5,0,7,2,0,202
Sunday,0,0,0,0,0,18,86,68,6,2,3,0,2,3,1,6,6,2,5,0,4,0,7,0,229
Sunday,0,0,0,0,0,88,25,68,5,0,1,0,2,5,3,5,4,6,2,1,1,5,6,0,236
Sunday,0,0,0,0,0,72,30,16,6,3,3,4,4,6,6,1,7,6,5,0,2,5,0,0,186
