Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,7,6,0,5,7,4,4,39,21,186,187,39,4,7,1,5,1,1,0,0,532
Wednesday,0,0,0,0,3,3,5,4,1,7,5,52,27,254,254,52,3,6,1,7,7,2,0,0,703
Thursday,0,0,0,0,1,6,2,6,6,6,6,37,19,184,184,40,0,4,7,7,5,7,0,0,534
Friday,0,0,0,0,0,6,2,2,6,2,3,47,25,223,222,47,3,4,5,1,2,5,0,0,614
Monday,0,0,0,0,1,7,2,7,4,6,1,24,13,102,103,21,2,7,1,1,1,0,0,0,312
Tuesday,0,0,0,0,2,2,6,6,2,7,7,36,19,166,165,36,2,6,6,6,2,6,0,0,491
Wednesday,0,0,0,0,3,3,1,5,6,7,7,46,25,227,227,48,1,7,6,2,2,7,0,0,642
Thursday,0,0,0,0,0,3,6,4,1,4,2,54,27,265,268,54,0,4,1,2,1,0,0,0,702
Friday,0,0,0,0,4,1,5,1,4,1,7,30,16,153,152,33,0,6,7,2,5,6,0,0,443
Monday,0,0,0,0,2,0,6,3,0,4,5,42,23,213,214,44,7,2,7,7,2,5,0,0,596
Tuesday,0,0,0,0,6,2,1,3,5,3,6,49,26,237,237,48,4,3,4,2,4,0,0,0,648
Wednesday,0,0,0,0,0,8,1,3,1,8,3,31,17,153,153,33,4,6,0,1,0,6,0,0,437
Thursday,0,0,0,0,3,5,7,3,4,3,3,30,16,149,150,32,1,0,4,3,3,6,0,0,431
Friday,0,0,0,0,4,3,3,1,4,2,1,38,19,183,182,37,7,6,2,1,6,5,0,0,513
Monday,0,0,0,0,1,0,3,5,7,7,3,30,16,148,149,29,7,4,3,3,5,2,0,0,430
Tuesday,0,0,0,0,1,1,4,3,0,6,3,35,18,171,167,34,8,0,2,6,0,7,0,0,473
Wednesday,0,0,0,0,2,0,1,5,2,1,3,46,23,216,215,45,7,5,1,4,7,3,0,0,595
Thursday,0,0,0,0,6,6,0,6,5,3,4,37,21,177,179,39,6,0,7,4,5,0,0,0,515
Friday,0,0,0,0,2,4,5,5,7,5,1,41,21,191,190,41,5,2,7,4,4,5,0,0,547
Monday,0,0,0,0,7,2,5,7,6,6,4,31,15,157,156,33,3,2,3,7,1,3,0,0,456
Tuesday,0,0,0,0,4,0,0,3,6,5,3,23,14,108,109,24,1,4,0,4,4,5,0,0,325
Wednesday,0,0,0,0,0,2,5,7,4,6,6,26,12,127,127,26,1,5,2,2,7,7,0,0,381
Thursday,0,0,0,0,2,0,2,1,7,6,5,56,30,274,276,57,5,6,2,3,6,4,0,0,752
Friday,0,0,0,0,4,4,7,0,4,2,7,47,25,223,223,45,7,5,5,2,7,3,0,0,626
Monday,0,0,0,0,0,7,2,0,8,7,2,40,21,189,192,37,1,4,6,7,6,1,0,0,538
Tuesday,0,0,0,0,0,6,0,6,1,4,5,27,13,123,121,25,5,2,1,4,1,1,0,0,355
Wednesday,0,0,0,0,0,0,5,0,7,0,0,48,24,230,231,46,7,7,1,3,4,2,0,0,624
Thursday,0,0,0,0,4,7,5,4,4,2,3,30,14,143,144,32,1,6,6,5,2,7,0,0,429
Friday,0,0,0,0,3,5,2,7,3,0,4,28,17,136,136,28,5,5,2,4,3,0,0,0,396
Monday,0,0,0,0,6,0,3,1,5,0,7,22,12,108,106,24,1,4,4,1,3,6,0,0,323
Saturday,0,0,0,0,0,16,52,85,3,1,0,3,1,2,2,7,2,7,0,3,0,0,7,0,198
Saturday,0,0,0,0,0,65,112,23,8,1,0,3,0,5,1,6,7,0,7,5,3,0,1,0,257
Saturday,0,0,0,0,0,45,77,18,7,5,1,3,2,5,0,7,5,2,2,1,6,5,0,0,199
Saturday,0,0,0,0,0,53,42,22,4,1,2,0,7,4,2,0,4,0,1,2,3,3,6,0,165
Saturday,0,0,0,0,0,59,26,12,5,6,7,0,3,2,7,4,7,2,7,6,6,7,3,0,179
Saturday,0,0,0,0,0,79,63,48,6,0,2,4,2,3,0,1,2,4,3,4,2,7,1,0,240
Sunday,0,0,0,0,0,68,89,46,7,5,5,3,2,6,4,1,4,2,5,4,2,2,5,0,268
Sunday,0,0,0,0,0,36,89,54,2,6,1,4,1,4,0,5,1,7,7,0,2,4,4,0,234
Sunday,0,0,0,0,0,36,74,21,2,4,5,5,2,7,7,1,2,4,7,1,0,0,6,0,192
Sunday,0,0,0,0,0,54,89,38,4,1,3,6,5,3,5,3,2,0,0,1,7,0,6,0,236
Sunday,0,0,0,0,0,26,118,47,4,6,3,0,5,7,4,6,1,1,3,4,2,3,1,0,251
Sunday,0,0,0,0,0,67,13,42,7,6,2,2,1,2,5,4,3,7,0,1,2,2,7,0,184
