Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,3,7,3,6,4,7,0,69,37,52,174,19,8,4,1,3,7,6,0,0,418
Wednesday,0,0,0,0,7,4,2,5,4,0,3,99,52,77,249,28,0,6,2,7,3,5,0,0,562
Thursday,0,0,0,0,3,3,3,4,1,1,1,110,58,84,275,30,1,2,1,3,7,1,0,0,596
Friday,0,0,0,0,7,5,4,8,3,8,3,94,47,71,231,23,5,4,1,7,0,3,0,0,531
Monday,0,0,0,0,0,5,2,7,5,7,4,86,45,65,216,22,3,4,0,2,0,4,0,0,485
Tuesday,0,0,0,0,1,6,1,2,2,3,7,68,36,49,165,20,4,5,1,7,3,2,0,0,390
Wednesday,0,0,0,0,7,7,7,7,1,4,6,97,48,74,239,25,1,1,7,0,6,3,0,0,549
Thursday,0,0,0,0,1,2,5,4,3,2,3,75,37,58,186,21,0,2,7,3,3,7,0,0,428
Friday,0,0,0,0,4,6,2,2,6,1,3,51,25,38,119,12,4,0,7,1,0,4,0,0,292
Monday,0,0,0,0,5,5,7,4,7,1,4,69,34,52,167,19,4,2,7,6,6,3,0,0,409
Tuesday,0,0,0,0,2,3,2,7,2,0,4,71,37,56,178,20,2,7,5,1,5,2,0,0,412
Wednesday,0,0,0,0,3,2,4,7,2,4,3,101,51,74,247,26,5,7,1,0,5,0,0,0,553
Thursday,0,0,0,0,4,0,2,5,0,5,5,95,49,73,235,25,4,6,0,7,1,5,0,0,531
Friday,0,0,0,0,4,2,2,7,1,3,2,63,32,49,153,16,0,7,7,1,6,3,0,0,365
Monday,0,0,0,0,1,2,6,4,2,3,4,48,26,38,121,14,6,4,6,7,3,7,0,0,311
Tuesday,0,0,0,0,3,6,5,6,2,0,0,111,59,84,278,30,1,6,5,2,0,1,0,0,608
Wednesday,0,0,0,0,7,5,0,6,2,3,1,81,43,64,205,23,3,4,7,1,1,6,0,0,473
Thursday,0,0,0,0,1,7,6,3,0,2,7,99,51,74,242,24,6,5,6,5,7,0,0,0,553
Friday,0,0,0,0,0,7,4,0,4,2,7,65,32,48,158,18,7,1,2,4,3,7,0,0,380
Monday,0,0,0,0,4,3,7,0,2,0,1,61,31,48,151,15,7,5,1,6,1,2,0,0,354
Tuesday,0,0,0,0,6,4,5,6,4,0,6,64,33,48,158,19,0,2,0,2,7,0,0,0,372
Wednesday,0,0,0,0,4,1,6,6,7,3,8,103,51,75,252,26,2,3,5,5,3,3,0,0,571
Thursday,0,0,0,0,0,0,2,7,7,2,3,46,24,33,113,13,2,6,7,3,3,2,0,0,280
Friday,0,0,0,0,4,2,3,4,3,5,1,96,47,71,235,23,2,0,2,1,2,5,0,0,514
Monday,0,0,0,0,7,3,3,5,3,3,4,81,43,62,203,23,6,6,7,4,2,5,0,0,478
Tuesday,0,0,0,0,6,2,0,6,1,2,7,59,32,47,149,15,3,0,2,2,4,6,0,0,351
Wednesday,0,0,0,0,2,7,2,4,6,1,7,119,59,91,298,31,6,1,3,2,7,0,0,0,655
Thursday,0,0,0,0,2,6,0,3,4,5,1,71,37,51,171,20,4,0,7,1,5,5,0,0,404
Friday,0,0,0,0,4,3,4,1,2,6,8,104,51,79,254,29,7,7,5,2,1,2,0,0,576
Monday,0,0,0,0,2,3,2,5,4,1,5,45,24,36,112,11,7,3,7,5,7,5,0,0,293
Saturday,0,0,0,0,0,121,47,25,7,3,2,2,2,5,4,0,0,1,4,3,3,3,0,0,241
Saturday,0,0,0,0,0,63,41,103,4,4,3,1,4,2,4,4,1,7,0,7,6,2,1,0,266
Saturday,0,0,0,0,0,60,37,26,2,7,5,6,3,3,4,0,3,5,5,3,3,3,3,0,186
Saturday,0,0,0,0,0,41,98,21,0,7,5,7,3,7,2,6,0,3,1,6,0,4,1,0,222
Saturday,0,0,0,0,0,90,47,23,0,2,0,1,4,7,5,3,3,1,7,6,3,2,6,0,218
Saturday,0,0,0,0,0,98,75,26,1,1,1,7,2,0,2,5,6,6,0,4,4,4,2,0,252
Sunday,0,0,0,0,0,32,56,46,3,6,3,4,3,0,5,0,5,2,3,0,2,2,6,0,185
Sunday,0,0,0,0,0,116,94,49,7,2,6,2,2,8,3,1,1,2,6,3,2,6,5,0,322
Sunday,0,0,0,0,0,40,76,21,2,4,7,4,1,4,0,0,0,7,2,5,7,7,5,0,199
Sunday,0,0,0,0,0,47,34,63,2,4,5,4,6,4,0,5,2,6,3,1,7,7,1,0,211
Sunday,0,0,0,0,0,79,100,61,4,3,6,6,2,4,3,6,4,4,2,3,4,7,1,0,307
Sunday,0,0,0,0,0,63,46,18,2,3,1,0,5,5,6,3,7,3,6,4,7,7,4,0,198
