Day,00-01 hr,01-02 hr,02-03 hr,03-04 hr,04-05 hr,05-06 hr,06-07 hr,07-08 hr,08-09 hr,09-10 hr,10-11 hr,11-12 hr,12-13 hr,13-14 hr,14-15 hr,15-16 hr,16-17 hr,17-18 hr,18-19 hr,19-20 hr,20-21 hr,21-22 hr,22-23 hr,23-24 hr,Total Calories
Tuesday,0,0,0,0,35,23,38,2,24,7,17,6,0,14,18,24,24,244,50,96,72,1,0,0,703
Wednesday,0,0,0,0,3,10,24,8,36,31,6,29,23,3,10,35,23,208,43,85,61,14,0,0,662
Thursday,0,0,0,0,14,5,8,4,30,30,20,31,3,29,19,14,21,190,39,78,59,19,0,0,621
Friday,0,0,0,0,21,5,42,19,15,37,8,17,42,27,40,7,31,283,58,114,86,27,0,0,886
Monday,0,0,0,0,13,25,12,1,5,18,8,10,12,12,9,17,16,133,27,53,40,1,0,0,422
Tuesday,0,0,0,0,1,0,20,6,10,0,17,25,13,9,12,9,12,116,26,48,35,29,0,0,399
Wednesday,0,0,0,0,27,26,39,17,0,35,29,10,30,12,33,14,24,231,47,95,70,14,0,0,763
Thursday,0,0,0,0,27,19,25,24,12,5,18,13,12,4,0,21,16,137,28,54,42,15,0,0,480
Friday,0,0,0,0,8,36,7,34,21,15,6,7,12,38,17,36,27,254,53,103,77,28,0,0,788
Monday,0,0,0,0,30,11,11,6,30,18,36,0,9,16,7,8,29,292,60,117,88,21,0,0,795
Tuesday,0,0,0,0,0,10,31,8,31,10,10,18,30,21,19,0,16,159,32,65,47,27,0,0,542
Wednesday,0,0,0,0,26,27,3,26,9,17,9,8,12,22,3,7,15,158,32,65,49,32,0,0,529
Thursday,0,0,0,0,27,2,2,23,19,22,17,21,14,26,37,13,28,272,54,108,82,16,0,0,790
Friday,0,0,0,0,28,16,0,23,11,11,16,26,31,15,25,21,18,147,29,58,43,4,0,0,533
Monday,0,0,0,0,11,13,28,5,17,4,6,21,21,1,27,18,28,277,56,113,86,10,0,0,750
Tuesday,0,0,0,0,16,23,23,22,19,10,25,24,4,10,9,26,11,104,21,41,31,13,0,0,443
Wednesday,0,0,0,0,7,1,24,23,26,26,25,23,40,0,15,21,26,257,54,103,79,36,0,0,796
Thursday,0,0,0,0,40,27,6,28,26,16,31,27,4,26,22,2,30,296,60,118,88,1,0,0,857
Friday,0,0,0,0,19,25,26,28,25,1,17,17,23,28,3,1,12,112,23,45,33,11,0,0,459
Monday,0,0,0,0,9,23,12,22,6,26,27,3,19,24,12,6,12,113,22,44,33,9,0,0,431
Tuesday,0,0,0,0,27,21,0,9,3,5,31,18,0,13,28,4,16,142,32,58,43,10,0,0,471
Wednesday,0,0,0,0,21,17,17,1,25,20,19,22,20,18,20,14,17,149,32,61,46,12,0,0,538
Thursday,0,0,0,0,28,30,14,12,17,5,16,28,4,17,3,23,13,129,26,51,39,30,0,0,493
Friday,0,0,0,0,25,5,26,25,21,0,20,0,7,2,9,30,14,139,30,56,42,13,0,0,471
Monday,0,0,0,0,9,21,19,26,37,39,23,26,23,37,30,5,30,262,53,106,80,23,0,0,858
Tuesday,0,0,0,0,25,24,33,23,4,17,29,14,6,20,23,25,26,234,47,93,71,23,0,0,742
Wednesday,0,0,0,0,13,28,14,11,29,6,12,18,26,18,17,8,23,224,48,89,69,18,0,0,681
Thursday,0,0,0,0,2,21,3,22,29,13,21,6,30,14,19,12,24,232,48,92,69,22,0,0,688
Friday,0,0,0,0,10,33,28,3,21,33,8,8,23,26,36,2,25,229,46,94,72,10,0,0,717
Monday,0,0,0,0,11,27,35,1,37,23,37,27,28,20,14,30,24,232,49,96,70,36,0,0,808
Saturday,0,0,0,0,0,0,5,7,3,4,4,5,6,2,3,1,109,67,25,89,5,2,1,0,347
Saturday,0,0,0,0,0,0,6,6,4,0,2,1,3,4,2,1,57,41,27,16,6,7,1,0,192
Saturday,0,0,0,0,0,0,2,0,2,1,6,2,4,2,4,3,49,79,33,15,5,1,5,0,220
Saturday,0,0,0,0,0,0,0,3,6,5,2,3,7,1,1,4,27,40,55,65,2,4,6,0,236
Saturday,0,0,0,0,0,0,6,3,3,1,6,0,6,7,7,1,36,55,93,74,2,2,5,0,316
Saturday,0,0,0,0,0,0,2,3,4,5,4,5,7,6,5,2,58,13,34,47,3,4,0,0,211
Sunday,0,0,0,0,0,0,2,0,5,7,0,5,7,2,1,4,33,21,51,13,5,7,4,0,174
Sunday,0,0,0,0,0,0,4,3,4,3,4,2,0,3,3,0,65,25,50,41,3,5,6,0,230
Sunday,0,0,0,0,0,0,0,0,1,5,2,5,0,0,1,5,95,71,26,117,1,4,2,0,345
Sunday,0,0,0,0,0,0,7,1,5,0,4,3,7,7,4,1,84,50,70,35,3,3,4,0,296
Sunday,0,0,0,0,0,0,4,7,7,4,6,0,4,1,0,5,34,20,69,85,2,5,6,0,269
Sunday,0,0,0,0,0,0,3,4,1,1,0,1,2,7,3,2,61,46,32,79,7,7,1,0,266
